Date,Value
2021-01-01,21449328.197460994
2021-01-02,19525785.70072744
2021-01-03,20298139.97712198
2021-01-04,22734699.299231358
2021-01-05,21728118.38601918
2021-01-06,22654141.07159947
2021-01-07,22887009.914709266
2021-01-08,20771781.05398066
2021-01-09,20391088.621605877
2021-01-10,22167110.343420815
2021-01-11,23258972.70031915
2021-01-12,22929581.901190855
2021-01-13,21878882.044063095
2021-01-14,22652020.28357277
2021-01-15,21551232.12587116
2021-01-16,23241137.22342652
2021-01-17,18954527.547962617
2021-01-18,21949398.47689205
2021-01-19,21444061.572887447
2021-01-20,21443981.482889343
2021-01-21,18670746.706789337
2021-01-22,21532729.5228719
2021-01-23,20346195.649818435
2021-01-24,23280693.787459858
2021-01-25,20541878.031600982
2021-01-26,23140928.508066703
2021-01-27,21115642.49353739
2021-01-28,22042967.111550223
2021-01-29,22172433.169588566
2021-01-30,22455685.25450075
2021-01-31,20133782.858663816
2021-02-01,19898813.70031741
2021-02-02,19851472.382317875
2021-02-03,23407915.34432935
2021-02-04,22164267.900784805
2021-02-05,24594325.73477769
2021-02-06,24224551.86570891
2021-02-07,24150866.476376727
2021-02-08,25557076.17249778
2021-02-09,23257165.492075555
2021-02-10,23443303.04058835
2021-02-11,20363254.526283454
2021-02-12,21691181.024995185
2021-02-13,22983033.320626725
2021-02-14,24867909.624314986
2021-02-15,22684851.16603902
2021-02-16,20233958.086131107
2021-02-17,20802383.244250044
2021-02-18,23203238.47334238
2021-02-19,22373448.707435876
2021-02-20,24109146.672884535
2021-02-21,23113547.531678017
2021-02-22,22014551.664338302
2021-02-23,19546328.425121285
2021-02-24,23160507.39872967
2021-02-25,25504102.597261682
2021-02-26,22182595.44994082
2021-02-27,24782429.85817788
2021-02-28,21540145.196560953
2021-03-01,20362302.914061982
2021-03-02,22152746.71081374
2021-03-03,24305479.60633819
2021-03-04,21688161.147137802
2021-03-05,21913195.760295197
2021-03-06,23471478.444212127
2021-03-07,22225865.68507194
2021-03-08,24433904.062081058
2021-03-09,23566773.91426197
2021-03-10,22693836.296250332
2021-03-11,21637946.64314116
2021-03-12,22996663.515997294
2021-03-13,22747094.516027197
2021-03-14,23949058.200966336
2021-03-15,23737787.21849248
2021-03-16,23432793.912477046
2021-03-17,22557301.952830635
2021-03-18,21947150.658645123
2021-03-19,23635182.418233175
2021-03-20,24449956.17139428
2021-03-21,24467064.820811123
2021-03-22,24957312.98865754
2021-03-23,25107843.632727936
2021-03-24,25048302.998055883
2021-03-25,23963013.209504113
2021-03-26,22205052.554440122
2021-03-27,24424938.544740185
2021-03-28,25284009.42159099
2021-03-29,24483399.521237254
2021-03-30,23873359.3780522
2021-03-31,24183557.77065467
2021-04-01,25625777.34372009
2021-04-02,23931628.051334172
2021-04-03,23075108.80342358
2021-04-04,24533338.93561255
2021-04-05,25271139.334458027
2021-04-06,24814102.204715412
2021-04-07,25363004.52905479
2021-04-08,26578853.11588257
2021-04-09,22532429.256083917
2021-04-10,27562054.749861203
2021-04-11,25213418.365807038
2021-04-12,25157885.793061934
2021-04-13,24731968.573420748
2021-04-14,22455567.703116875
2021-04-15,26452666.27721779
2021-04-16,24368625.208793934
2021-04-17,17698040.56787775
2021-04-18,18611008.880873483
2021-04-19,16540503.947662715
2021-04-20,19911921.782597356
2021-04-21,19258116.806854405
2021-04-22,20819235.464387957
2021-04-23,23901541.295284115
2021-04-24,23677878.938833915
2021-04-25,24943555.2101989
2021-04-26,23135835.56589523
2021-04-27,22341954.03423946
2021-04-28,24577583.130334068
2021-04-29,21601640.683099855
2021-04-30,23518941.885401223
2021-05-01,23158053.17220388
2021-05-02,24746878.410213005
2021-05-03,26726562.02161763
2021-05-04,27696750.32458409
2021-05-05,25569298.83343154
2021-05-06,23697076.377879556
2021-05-07,25289964.717494205
2021-05-08,25928632.66567894
2021-05-09,26680635.644885387
2021-05-10,26767842.785179522
2021-05-11,24615233.16433631
2021-05-12,24528945.122349784
2021-05-13,27879391.408141784
2021-05-14,24981418.88647972
2021-05-15,23629336.55835235
2021-05-16,22236561.395968594
2021-05-17,21555063.931994904
2021-05-18,20748480.722412005
2021-05-19,19552744.05128746
2021-05-20,20701219.63246891
2021-05-21,19853223.939877328
2021-05-22,19331773.161191244
2021-05-23,21850355.427358396
2021-05-24,20679618.323276203
2021-05-25,22288369.966352966
2021-05-26,20219317.758981794
2021-05-27,22233808.412080742
2021-05-28,20156425.339760922
2021-05-29,19514675.50769034
2021-05-30,19914883.6333506
2021-05-31,20305487.435860075
2021-06-01,21113384.200748265
2021-06-02,22548500.961412657
2021-06-03,22311819.575997163
2021-06-04,19856009.337508712
2021-06-05,19704050.788798563
2021-06-06,20768570.08982417
2021-06-07,20405445.769770693
2021-06-08,20701788.383917887
2021-06-09,22568693.759585954
2021-06-10,15907688.981889887
2021-06-11,16012308.405057691
2021-06-12,17634176.410735693
2021-06-13,17819090.262722965
2021-06-14,19802187.50392364
2021-06-15,18297936.579949293
2021-06-16,16556145.578524873
2021-06-17,17881438.91681664
2021-06-18,17998967.315361917
2021-06-19,15231698.692483554
2021-06-20,14599908.25050646
2021-06-21,14241638.538909296
2021-06-22,13971876.091747703
2021-06-23,13351379.49825524
2021-06-24,13814456.103573238
2021-06-25,14799933.840924313
2021-06-26,14040943.865874061
2021-06-27,10514610.464543132
2021-06-28,9450544.546172135
2021-06-29,13217405.183776923
2021-06-30,12207035.946231287
2021-07-01,12161441.795314213
2021-07-02,13669249.092117848
2021-07-03,10680581.054143416
2021-07-04,12634568.670583477
2021-07-05,12188118.647069622
2021-07-06,13208698.894581558
2021-07-07,13617647.270327756
2021-07-08,12641728.44388062
2021-07-09,13324684.063358335
2021-07-10,14775871.07730753
2021-07-11,13529329.709089179
2021-07-12,12367620.317568688
2021-07-13,12836677.019164104
2021-07-14,14980639.936708791
2021-07-15,14662227.689788006
2021-07-16,14053030.58944682
2021-07-17,15020799.840049135
2021-07-18,13362718.99949475
2021-07-19,13946737.21376086
2021-07-20,14045669.056208856
2021-07-21,12923232.516410843
2021-07-22,13641082.084293667
2021-07-23,13129742.829116534
2021-07-24,13926340.919726081
2021-07-25,14218125.644227706
2021-07-26,15177930.922138605
2021-07-27,14533097.20877124
2021-07-28,16148532.147624042
2021-07-29,14329555.644552357
2021-07-30,16216283.955889994
2021-07-31,16054280.545081975
2021-08-01,15992760.082501395
2021-08-02,13901868.875661282
2021-08-03,16043665.151265817
2021-08-04,14746507.761658095
2021-08-05,14743992.459053233
2021-08-06,16083330.472997854
2021-08-07,15855075.230559696
2021-08-08,16209112.856179662
2021-08-09,15727531.380597739
2021-08-10,15717676.53807389
2021-08-11,15872102.732835447
2021-08-12,14230336.596242297
2021-08-13,15540511.302946888
2021-08-14,16343575.03437197
2021-08-15,17983813.401920434
2021-08-16,18666175.177544534
2021-08-17,17499587.164872266
2021-08-18,16574653.64465926
2021-08-19,14959860.879240528
2021-08-20,17520077.125206918
2021-08-21,17367891.104326326
2021-08-22,17710570.99199727
2021-08-23,18429767.65406047
2021-08-24,19611415.460094944
2021-08-25,17690429.23257319
2021-08-26,18278723.685858276
2021-08-27,18127009.440865073
2021-08-28,17612841.996762283
2021-08-29,18210803.34352506
2021-08-30,17295476.40495037
2021-08-31,16991787.554184787
2021-09-01,16399592.92275598
2021-09-02,17506055.50501129
2021-09-03,17845895.88353765
2021-09-04,18598351.37246239
2021-09-05,19372621.678118125
2021-09-06,19832461.358430266
2021-09-07,19593015.451405738
2021-09-08,18130031.79516764
2021-09-09,17438259.33496432
2021-09-10,17583348.770419374
2021-09-11,17371211.68036264
2021-09-12,18291146.57833462
2021-09-13,18993789.105779316
2021-09-14,21091758.855335843
2021-09-15,18031187.888198286
2021-09-16,17651855.68011715
2021-09-17,17252517.69071992
2021-09-18,19362529.19079796
2021-09-19,20128135.461302537
2021-09-20,19794889.113312494
2021-09-21,18592690.571954817
2021-09-22,16178657.620582862
2021-09-23,19104587.17423221
2021-09-24,19720846.704384338
2021-09-25,19935249.00970013
2021-09-26,17343961.91838066
2021-09-27,18936027.655452296
2021-09-28,20084553.302956104
2021-09-29,18526081.714284413
2021-09-30,18852848.855449107
2021-10-01,20797056.86944985
2021-10-02,21441088.137048993
2021-10-03,21667459.17716803
2021-10-04,18923170.084915556
2021-10-05,22603156.149334338
2021-10-06,21357944.649074707
2021-10-07,17396085.137083434
2021-10-08,18108285.410465673
2021-10-09,18551153.731473256
2021-10-10,21394789.076992832
2021-10-11,20755890.420119487
2021-10-12,19808670.48811421
2021-10-13,19879622.960884307
2021-10-14,21424019.759367175
2021-10-15,19452373.615031417
2021-10-16,18785732.517389692
2021-10-17,19827799.53927967
2021-10-18,21654778.639339283
2021-10-19,19198592.732312985
2021-10-20,22545989.89290531
2021-10-21,20062138.121345796
2021-10-22,20968588.027970526
2021-10-23,22333392.609382648
2021-10-24,19267881.244879346
2021-10-25,23845193.53875363
2021-10-26,22904605.854210995
2021-10-27,20362454.32004013
2021-10-28,22600613.91819707
2021-10-29,22498351.18234803
2021-10-30,22482130.52188943
2021-10-31,20630586.498887997
2021-11-01,21140871.44652829
2021-11-02,22401759.591911692
2021-11-03,24335037.980220195
2021-11-04,22109270.715330556
2021-11-05,22252675.498681255
2021-11-06,23673737.654853534
2021-11-07,22321054.01554002
2021-11-08,23082421.511202596
2021-11-09,20192162.173385255
2021-11-10,22372196.68196754
2021-11-11,23421841.694278296
2021-11-12,21709881.761517096
2021-11-13,21621586.349425297
2021-11-14,24046206.475107614
2021-11-15,23669350.74817491
2021-11-16,22911502.408673365
2021-11-17,23005291.71798911
2021-11-18,22204494.016808566
2021-11-19,22127762.42144433
2021-11-20,21268794.94611503
2021-11-21,20780648.752467442
2021-11-22,21278576.81591018
2021-11-23,21051669.53409117
2021-11-24,22497931.259921737
2021-11-25,21930445.093334384
2021-11-26,18704122.542980116
2021-11-27,22032577.676292397
2021-11-28,20179490.59105373
2021-11-29,21757348.366020117
2021-11-30,21991316.62730336
2021-12-01,19684496.83772866
2021-12-02,22509151.98203893
2021-12-03,24274073.54022533
2021-12-04,24641757.243497133
2021-12-05,23830512.815654516
2021-12-06,24443336.220754728
2021-12-07,24422843.121943396
2021-12-08,25897033.15822453
2021-12-09,23887801.26984838
2021-12-10,24156426.90963406
2021-12-11,23876520.778302163
2021-12-12,23307756.309142478
2021-12-13,22794356.962799568
2021-12-14,22907575.44168954
2021-12-15,22327211.907633454
2021-12-16,21914759.504682377
2021-12-17,20749574.48331544
2021-12-18,21390129.497386504
2021-12-19,22713422.074893128
2021-12-20,22554930.329839144
2021-12-21,24374224.903919034
2021-12-22,24114134.688406404
2021-12-23,24338258.027699623
2021-12-24,23887366.935839534
2021-12-25,24232495.352366425
2021-12-26,22450229.970441006
2021-12-27,22266431.999865174
2021-12-28,22770138.02024134
2021-12-29,22448447.606420368
2021-12-30,21813795.636244375
2021-12-31,20481748.371857177
Total,7473678474
