Date,Value
2021-01-01,1.5005314200704E+20
2021-01-02,1.3659660888107E+20
2021-01-03,1.4199977045558E+20
2021-01-04,1.5740316975743E+20
2021-01-05,1.5043412986508E+20
2021-01-06,1.5684542671397E+20
2021-01-07,1.5845768881433E+20
2021-01-08,1.4381295025593E+20
2021-01-09,1.4117723492186E+20
2021-01-10,1.5347348062506E+20
2021-01-11,1.6118128019011E+20
2021-01-12,1.5889865011137E+20
2021-01-13,1.5161745372108E+20
2021-01-14,1.5697518868271E+20
2021-01-15,1.493468876927E+20
2021-01-16,1.6189530201558E+20
2021-01-17,1.320352327186E+20
2021-01-18,1.5289718662712E+20
2021-01-19,1.4937706323957E+20
2021-01-20,1.4937650534112E+20
2021-01-21,1.3005844541485E+20
2021-01-22,1.4999471479439E+20
2021-01-23,1.4172944541953E+20
2021-01-24,1.621708488539E+20
2021-01-25,1.4309254817966E+20
2021-01-26,1.6119725871065E+20
2021-01-27,1.4708933069327E+20
2021-01-28,1.5354897583268E+20
2021-01-29,1.5445082269006E+20
2021-01-30,1.5642392673366E+20
2021-01-31,1.4024980039849E+20
2021-02-01,1.3966052880558E+20
2021-02-02,1.3932826208829E+20
2021-02-03,1.6428928299244E+20
2021-02-04,1.5556069935781E+20
2021-02-05,1.7261614634248E+20
2021-02-06,1.700208753444E+20
2021-02-07,1.6950371182931E+20
2021-02-08,1.7446548948436E+20
2021-02-09,1.5876513941607E+20
2021-02-10,1.6003580818481E+20
2021-02-11,1.3900984386648E+20
2021-02-12,1.4807493977312E+20
2021-02-13,1.5749096662777E+20
2021-02-14,1.7040705942111E+20
2021-02-15,1.5358557310609E+20
2021-02-16,1.3699204046423E+20
2021-02-17,1.4084050757731E+20
2021-02-18,1.5700406476231E+20
2021-02-19,1.513893154981E+20
2021-02-20,1.6313386728074E+20
2021-02-21,1.5639717351177E+20
2021-02-22,1.5077124693454E+20
2021-02-23,1.3386710547558E+20
2021-02-24,1.586195637043E+20
2021-02-25,1.7467016404266E+20
2021-02-26,1.5192212983605E+20
2021-02-27,1.6972763782594E+20
2021-02-28,1.4752217532994E+20
2021-03-01,1.3945547688737E+20
2021-03-02,1.5171770452291E+20
2021-03-03,1.6646114458583E+20
2021-03-04,1.4853589342763E+20
2021-03-05,1.5007708989379E+20
2021-03-06,1.6074931374431E+20
2021-03-07,1.5221847506285E+20
2021-03-08,1.6533132908005E+20
2021-03-09,1.5946391716503E+20
2021-03-10,1.5355720916523E+20
2021-03-11,1.4711391170198E+20
2021-03-12,1.5635167152078E+20
2021-03-13,1.5465488058074E+20
2021-03-14,1.6282689349543E+20
2021-03-15,1.6139048637356E+20
2021-03-16,1.596583369563E+20
2021-03-17,1.5369321001421E+20
2021-03-18,1.4953597032332E+20
2021-03-19,1.6103730236558E+20
2021-03-20,1.6658872841026E+20
2021-03-21,1.6596970916255E+20
2021-03-22,1.7141737589482E+20
2021-03-23,1.7245128399262E+20
2021-03-24,1.7204233374388E+20
2021-03-25,1.6458810468791E+20
2021-03-26,1.5251368776032E+20
2021-03-27,1.6726627641056E+20
2021-03-28,1.7314934491779E+20
2021-03-29,1.6558643026466E+20
2021-03-30,1.6146059922798E+20
2021-03-31,1.6355853683098E+20
2021-04-01,1.7331257407383E+20
2021-04-02,1.6185468263934E+20
2021-04-03,1.5606186107502E+20
2021-04-04,1.6592418112923E+20
2021-04-05,1.7091408190615E+20
2021-04-06,1.6782304274115E+20
2021-04-07,1.7153538572573E+20
2021-04-08,1.7975842791644E+20
2021-04-09,1.5239160405276E+20
2021-04-10,1.8640802936005E+20
2021-04-11,1.7052370273752E+20
2021-04-12,1.7014812415513E+20
2021-04-13,1.6726755555078E+20
2021-04-14,1.518717730477E+20
2021-04-15,1.8167943199849E+20
2021-04-16,1.6736603940491E+20
2021-04-17,1.2155182861954E+20
2021-04-18,1.2782218196689E+20
2021-04-19,1.1360175683947E+20
2021-04-20,1.3666385547909E+20
2021-04-21,1.3217651820989E+20
2021-04-22,1.4289112913134E+20
2021-04-23,1.6404628448074E+20
2021-04-24,1.6251119609039E+20
2021-04-25,1.7119806222625E+20
2021-04-26,1.5822087335946E+20
2021-04-27,1.5279169277401E+20
2021-04-28,1.6808066675917E+20
2021-04-29,1.4772885315262E+20
2021-04-30,1.6084085292705E+20
2021-05-01,1.5711233524489E+20
2021-05-02,1.6789148155669E+20
2021-05-03,1.8132234782688E+20
2021-05-04,1.8790444472306E+20
2021-05-05,1.7347106945573E+20
2021-05-06,1.6571035243399E+20
2021-05-07,1.7684919859106E+20
2021-05-08,1.8131531454116E+20
2021-05-09,1.8657396656762E+20
2021-05-10,1.8973079704348E+20
2021-05-11,1.7447307372361E+20
2021-05-12,1.7386146302667E+20
2021-05-13,1.9760946727775E+20
2021-05-14,1.7706860260077E+20
2021-05-15,1.6748502652246E+20
2021-05-16,1.5761301913725E+20
2021-05-17,1.527825567776E+20
2021-05-18,1.4706548512322E+20
2021-05-19,1.3859008897392E+20
