Date,Value
2023-09-01,51857859530
2023-09-02,44352662781
2023-09-03,39591914706
2023-09-04,40396903010
2023-09-05,46999918107
2023-09-06,44398318848
2023-09-07,40134197559
2023-09-08,37319622009
2023-09-09,36475938408
2023-09-10,38125959555
2023-09-11,41840878917
2023-09-12,39217792511
2023-09-13,33575159586
2023-09-14,39821439633
2023-09-15,36045416895
2023-09-16,27964422192
2023-09-17,28873143296
2023-09-18,33052398433
2023-09-19,33979415267
2023-09-20,33445425081
2023-09-21,36825448866
2023-09-22,32687809873
2023-09-23,28075010983
2023-09-24,30248126519
2023-09-25,37319085936
2023-09-26,32419736558
2023-09-27,32229704470
2023-09-28,37093979822
2023-09-29,33841078847
2023-09-30,33641260859
2023-10-01,38589154685
2023-10-02,39383935186
2023-10-03,66165182726
2023-10-04,71869715585
2023-10-05,79153941058
2023-10-06,70665143491
2023-10-07,42666880042
2023-10-08,25747218486
2023-10-09,28427377217
2023-10-10,27225656042
2023-10-11,28372219063
2023-10-12,28512258257
2023-10-13,24393864816
2023-10-14,24275419866
2023-10-15,21401619045
2023-10-16,29214588189
2023-10-17,35785604831
2023-10-18,35729342855
2023-10-19,31838648811
2023-10-20,36996817361
2023-10-21,31059657044
2023-10-22,32682714030
2023-10-23,40923549408
2023-10-24,50651526842
2023-10-25,33979624853
2023-10-26,38723855286
2023-10-27,34113965655
2023-10-28,28815386753
2023-10-29,28725791168
2023-10-30,31823131776
2023-10-31,33836411647
2023-11-01,36711098535
2023-11-02,35368373861
2023-11-03,32558463176
2023-11-04,30685347843
2023-11-05,33965069673
2023-11-06,34719486382
2023-11-07,35901652380
2023-11-08,32390661560
2023-11-09,45374812011
2023-11-10,39910184797
2023-11-11,49101171777
2023-11-12,56409845851
2023-11-13,50794649505
2023-11-14,45460525395
2023-11-15,52188293204
2023-11-16,58707124217
2023-11-17,59003464102
2023-11-18,45844470527
2023-11-19,80897006299
2023-11-20,153799826695
2023-11-21,154913704793
2023-11-22,155791294397
2023-11-23,86093785548
2023-11-24,32205729147
2023-11-25,33731125765
2023-11-26,29084008305
2023-11-27,29563333752
2023-11-28,32380143379
2023-11-29,33015320442
2023-11-30,34272345946
2023-12-01,39346453777
2023-12-02,32137409069
2023-12-03,29551927883
2023-12-04,41272410936
2023-12-05,47991010860
2023-12-06,56825880778
2023-12-07,81526579667
2023-12-08,138322165025
2023-12-09,153208239083
2023-12-10,118326968029
2023-12-11,111262994674
2023-12-12,133380767501
2023-12-13,150256317731
2023-12-14,154930729840
2023-12-15,156631650883
2023-12-16,158858917221
2023-12-17,156470611063
2023-12-18,157125779250
2023-12-19,159604518774
2023-12-20,156507695323
2023-12-21,156185736269
2023-12-22,154289438433
2023-12-23,155342559177
2023-12-24,156038906100
2023-12-25,154313608761
2023-12-26,148405009439
2023-12-27,132808654775
2023-12-28,89721462070
2023-12-29,79955282853
2023-12-30,67022669321
2023-12-31,63179456891
2024-01-01,99189440811
2024-01-02,76794262070
2024-01-03,61864318157
2024-01-04,51150648243
2024-01-05,46508090518
2024-01-06,38944428453
2024-01-07,38546892832
2024-01-08,49073282021
2024-01-09,44430887279
2024-01-10,48434536087
2024-01-11,51681050382
2024-01-12,52184253994
2024-01-13,40606935014
2024-01-14,35174486428
2024-01-15,43931620268
2024-01-16,43894183942
2024-01-17,40272786293
2024-01-18,41916646103
2024-01-19,36708509681
2024-01-20,41904513006
2024-01-21,32394321359
2024-01-22,42361631519
2024-01-23,42048485794
2024-01-24,40164458487
2024-01-25,34132182239
2024-01-26,35698224708
2024-01-27,34272479521
2024-01-28,43078676248
2024-01-29,39966707616
2024-01-30,41043720435
2024-01-31,43047815514
2024-02-01,38674763136
2024-02-02,40671826511
2024-02-03,31818937758
2024-02-04,29615137942
2024-02-05,32988010074
2024-02-06,30893535015
2024-02-07,34513708262
2024-02-08,37714061704
2024-02-09,33981496851
2024-02-10,40888323212
2024-02-11,34546056353
2024-02-12,37084982615
2024-02-13,37157550912
2024-02-14,41947809890
2024-02-15,39278428755
2024-02-16,38424362028
2024-02-17,34954413871
2024-02-18,33734505489
2024-02-19,34588340924
2024-02-20,35390550299
2024-02-21,35309077058
2024-02-22,36623238827
2024-02-23,67069813930
2024-02-24,154066612408
2024-02-25,61806909266
2024-02-26,39778532456
2024-02-27,45877495436
