Date,Value
2023-09-01,228706
2023-09-02,191979
2023-09-03,181300
2023-09-04,192229
2023-09-05,202173
2023-09-06,201025
2023-09-07,190011
2023-09-08,181985
2023-09-09,180114
2023-09-10,175561
2023-09-11,178185
2023-09-12,170241
2023-09-13,157249
2023-09-14,171286
2023-09-15,158756
2023-09-16,143379
2023-09-17,136636
2023-09-18,163579
2023-09-19,164154
2023-09-20,169001
2023-09-21,171925
2023-09-22,155775
2023-09-23,143172
2023-09-24,151077
2023-09-25,226758
2023-09-26,187757
2023-09-27,174110
2023-09-28,201260
2023-09-29,200646
2023-09-30,188141
2023-10-01,195624
2023-10-02,249471
2023-10-03,559536
2023-10-04,576572
2023-10-05,394848
2023-10-06,506038
2023-10-07,251729
2023-10-08,129560
2023-10-09,136606
2023-10-10,135502
2023-10-11,137381
2023-10-12,142458
2023-10-13,123685
2023-10-14,112824
2023-10-15,109791
2023-10-16,138317
2023-10-17,200095
2023-10-18,214335
2023-10-19,181525
2023-10-20,202331
2023-10-21,182751
2023-10-22,188090
2023-10-23,207511
2023-10-24,266736
2023-10-25,194572
2023-10-26,214081
2023-10-27,193980
2023-10-28,158400
2023-10-29,161819
2023-10-30,180887
2023-10-31,183107
2023-11-01,193423
2023-11-02,192086
2023-11-03,193195
2023-11-04,180653
2023-11-05,190817
2023-11-06,206571
2023-11-07,205728
2023-11-08,187724
2023-11-09,231771
2023-11-10,215558
2023-11-11,253016
2023-11-12,306775
2023-11-13,257947
2023-11-14,239643
2023-11-15,273919
2023-11-16,322883
2023-11-17,346724
2023-11-18,505431
2023-11-19,2350361
2023-11-20,5755122
2023-11-21,5829059
2023-11-22,6355501
2023-11-23,2751349
2023-11-24,195851
2023-11-25,479072
2023-11-26,227546
2023-11-27,185287
2023-11-28,208148
2023-11-29,213517
2023-11-30,198439
2023-12-01,222899
2023-12-02,185228
2023-12-03,172675
2023-12-04,241495
2023-12-05,269541
2023-12-06,328915
2023-12-07,1857645
2023-12-08,4028314
2023-12-09,4521102
2023-12-10,2528544
2023-12-11,1094676
2023-12-12,1518690
2023-12-13,4542255
2023-12-14,5504663
2023-12-15,5914959
2023-12-16,6046486
2023-12-17,5543022
2023-12-18,5968399
2023-12-19,6271287
2023-12-20,6174615
2023-12-21,5855790
2023-12-22,5453006
2023-12-23,5888618
2023-12-24,5852114
2023-12-25,5711605
2023-12-26,4156996
2023-12-27,4187332
2023-12-28,1973146
2023-12-29,1603763
2023-12-30,1463794
2023-12-31,1046184
2024-01-01,2787334
2024-01-02,1370024
2024-01-03,739462
2024-01-04,461484
2024-01-05,379862
2024-01-06,317138
2024-01-07,331593
2024-01-08,376216
2024-01-09,358819
2024-01-10,394258
2024-01-11,467950
2024-01-12,478235
2024-01-13,400795
2024-01-14,323212
2024-01-15,489927
2024-01-16,597506
2024-01-17,333758
2024-01-18,313474
2024-01-19,266820
2024-01-20,238817
2024-01-21,220679
2024-01-22,276142
2024-01-23,316139
2024-01-24,326140
2024-01-25,255789
2024-01-26,232977
2024-01-27,230746
2024-01-28,280710
2024-01-29,275936
2024-01-30,279064
2024-01-31,270926
2024-02-01,261094
2024-02-02,270767
2024-02-03,205916
2024-02-04,188530
2024-02-05,216628
2024-02-06,201893
2024-02-07,212045
2024-02-08,233985
2024-02-09,221591
2024-02-10,225324
2024-02-11,201826
2024-02-12,213487
2024-02-13,232331
2024-02-14,258307
2024-02-15,250509
2024-02-16,239937
2024-02-17,227853
2024-02-18,225666
2024-02-19,233713
2024-02-20,225071
2024-02-21,229365
2024-02-22,244126
2024-02-23,2016000
2024-02-24,6194368
2024-02-25,1403386
2024-02-26,275238
2024-02-27,299289
