Date(UTC),Value
2023-09-01,1997867696429
2023-09-02,1726059903890
2023-09-03,1688023802515
2023-09-04,1920823888040
2023-09-05,2137477842685
2023-09-06,2025296291863
2023-09-07,2312564724996
2023-09-08,1870011189502
2023-09-09,1673048792131
2023-09-10,2331737718105
2023-09-11,2496361993436
2023-09-12,2313632181097
2023-09-13,2352467417915
2023-09-14,2122177702159
2023-09-15,1927909097527
2023-09-16,1779699354831
2023-09-17,1753082958191
2023-09-18,2184171399183
2023-09-19,2043394155437
2023-09-20,2102563444004
2023-09-21,2027477520334
2023-09-22,1662672449258
2023-09-23,1478840453187
2023-09-24,1586675727585
2023-09-25,1708794015361
2023-09-26,1615118835720
2023-09-27,1778283110656
2023-09-28,1796760289755
2023-09-29,1912152817277
2023-09-30,1868236920644
2023-10-01,2093325614843
2023-10-02,2410061229186
2023-10-03,2265970871562
2023-10-04,2197660858855
2023-10-05,1953474218307
2023-10-06,2172962097067
2023-10-07,1677181242388
2023-10-08,1771041629664
2023-10-09,2179767847006
2023-10-10,2276877886228
2023-10-11,2299351354691
2023-10-12,2096543418102
2023-10-13,1932405606004
2023-10-14,1795878755715
2023-10-15,1827374052045
2023-10-16,2410531328553
2023-10-17,2204190284370
2023-10-18,2003485814795
2023-10-19,2294218284448
2023-10-20,2574005311430
2023-10-21,2693621138494
2023-10-22,2338073741469
2023-10-23,3488619268234
2023-10-24,3505306394744
2023-10-25,3365229630888
2023-10-26,3092472583085
2023-10-27,2746762069379
2023-10-28,1935359949189
2023-10-29,2021487178087
2023-10-30,2661672964532
2023-10-31,2956422673286
2023-11-01,4257169297283
2023-11-02,4359522775022
2023-11-03,3816386082902
2023-11-04,3603955704220
2023-11-05,2952127203427
2023-11-06,2745445942848
2023-11-07,3170460366681
2023-11-08,2688908933268
2023-11-09,4213121964120
2023-11-10,4969668515463
2023-11-11,5256691915781
2023-11-12,4606634043444
2023-11-13,4773599125964
2023-11-14,4573024362555
2023-11-15,4980229392162
2023-11-16,4992290774266
2023-11-17,4437752765683
2023-11-18,3381191202079
2023-11-19,3412880461541
2023-11-20,4366645654859
2023-11-21,4826977179109
2023-11-22,4657287129180
2023-11-23,3698572739097
2023-11-24,4532577581692
2023-11-25,3498699021079
2023-11-26,3676755008377
2023-11-27,4138812089370
2023-11-28,3852243807105
2023-11-29,4169140492043
2023-11-30,3727292219396
2023-12-01,3643846556337
2023-12-02,3239290874683
2023-12-03,3418108133708
2023-12-04,4516558731033
2023-12-05,4494487277661
2023-12-06,5400490365744
2023-12-07,5360671351195
2023-12-08,6340377709034
2023-12-09,6002105042071
2023-12-10,5373177644049
2023-12-11,5999320338204
2023-12-12,5791233883583
2023-12-13,5914930573025
2023-12-14,6082584601581
2023-12-15,6486907656926
2023-12-16,6023206085050
2023-12-17,5921826108737
2023-12-18,6057307655568
2023-12-19,6169807681263
2023-12-20,5940679734039
2023-12-21,6003502206382
2023-12-22,6275018069095
2023-12-23,6077216373168
2023-12-24,6362608304051
2023-12-25,6278381862802
2023-12-26,6233845954191
2023-12-27,6100744373056
2023-12-28,6000391171167
2023-12-29,6028401995400
2023-12-30,5460412357116
2023-12-31,5002313639654
2024-01-01,5184915446966
2024-01-02,6189591817044
2024-01-03,5911014790765
2024-01-04,5988200132542
2024-01-05,5821051538411
2024-01-06,5615501549265
2024-01-07,5665801542763
2024-01-08,6011362296457
2024-01-09,6031309343688
2024-01-10,5841204740531
2024-01-11,5895801404648
2024-01-12,5604473656193
2024-01-13,5976861770464
2024-01-14,5788116525976
2024-01-15,6182047212523
2024-01-16,6277799994627
2024-01-17,6597247704223
2024-01-18,7099515846850
2024-01-19,7182299845925
2024-01-20,7641024326320
2024-01-21,7576746568507
2024-01-22,7410491767222
2024-01-23,7470757350704
2024-01-24,7975117828108
2024-01-25,7886949488840
2024-01-26,7820052449759
2024-01-27,8145544398230
2024-01-28,7920073451578
2024-01-29,7875599370618
2024-01-30,7816722843969
2024-01-31,7465329098866
2024-02-01,7275973602690
2024-02-02,7488602147491
2024-02-03,7624511021212
2024-02-04,7206413535997
2024-02-05,7127624405207
2024-02-06,5478435805540
2024-02-07,7802193872628
2024-02-08,7679393293223
2024-02-09,7803666700924
2024-02-10,7255287432366
2024-02-11,7336913079122
2024-02-12,7433377146979
2024-02-13,7674696629713
2024-02-14,7795981671369
2024-02-15,8045268813399
2024-02-16,7700611889596
2024-02-17,7276488094413
2024-02-18,7403287084451
2024-02-19,7416900839704
2024-02-20,7375476098228
2024-02-21,7491304899983
2024-02-22,7293164495429
2024-02-23,7268144387116
2024-02-24,6832615016232
2024-02-25,6228899305836
2024-02-26,7432478818358
2024-02-27,7760599741637
