Date(UTC),Value
2023-09-01,23164191
2023-09-02,20950833
2023-09-03,21602036
2023-09-04,23341719
2023-09-05,24770133
2023-09-06,24536791
2023-09-07,24268710
2023-09-08,22577638
2023-09-09,21940825
2023-09-10,24685408
2023-09-11,26850674
2023-09-12,25793026
2023-09-13,27570779
2023-09-14,24471647
2023-09-15,23139211
2023-09-16,20894541
2023-09-17,21789041
2023-09-18,24482745
2023-09-19,24377237
2023-09-20,25151101
2023-09-21,23835886
2023-09-22,21613157
2023-09-23,20145631
2023-09-24,21668094
2023-09-25,23448764
2023-09-26,23287714
2023-09-27,23013961
2023-09-28,22886882
2023-09-29,24471866
2023-09-30,23340943
2023-10-01,24579535
2023-10-02,26338056
2023-10-03,25193639
2023-10-04,25375940
2023-10-05,23927388
2023-10-06,24713484
2023-10-07,23323736
2023-10-08,24012342
2023-10-09,27782305
2023-10-10,27718860
2023-10-11,29003790
2023-10-12,25305302
2023-10-13,24237418
2023-10-14,23234167
2023-10-15,24628915
2023-10-16,27418431
2023-10-17,27819944
2023-10-18,28261941
2023-10-19,29443544
2023-10-20,29848392
2023-10-21,31248714
2023-10-22,29134765
2023-10-23,36271205
2023-10-24,33689089
2023-10-25,32495741
2023-10-26,31540273
2023-10-27,29343839
2023-10-28,26015081
2023-10-29,26590650
2023-10-30,29976213
2023-10-31,30560812
2023-11-01,38097190
2023-11-02,38705593
2023-11-03,35859116
2023-11-04,33920138
2023-11-05,32350398
2023-11-06,31841452
2023-11-07,32782893
2023-11-08,31219861
2023-11-09,39876822
2023-11-10,42836842
2023-11-11,43340059
2023-11-12,39634201
2023-11-13,40654804
2023-11-14,38659049
2023-11-15,40880793
2023-11-16,42263075
2023-11-17,39753457
2023-11-18,34175727
2023-11-19,33581468
2023-11-20,38739919
2023-11-21,40686873
2023-11-22,42078066
2023-11-23,37609115
2023-11-24,67858055
2023-11-25,36956818
2023-11-26,38656299
2023-11-27,41984003
2023-11-28,40459485
2023-11-29,44254824
2023-11-30,41994572
2023-12-01,42999425
2023-12-02,41034832
2023-12-03,44432492
2023-12-04,44778264
2023-12-05,45999704
2023-12-06,49484658
2023-12-07,48633949
2023-12-08,55363668
2023-12-09,52376207
2023-12-10,50089716
2023-12-11,52838185
2023-12-12,55160335
2023-12-13,54553691
2023-12-14,57008303
2023-12-15,56974161
2023-12-16,60385486
2023-12-17,58508264
2023-12-18,61918338
2023-12-19,63250759
2023-12-20,57939586
2023-12-21,54629140
2023-12-22,58415851
2023-12-23,65199445
2023-12-24,60235879
2023-12-25,60162184
2023-12-26,58093926
2023-12-27,58651452
2023-12-28,58592129
2023-12-29,60815600
2023-12-30,60366047
2023-12-31,57333527
2024-01-01,55090701
2024-01-02,59688609
2024-01-03,57514896
2024-01-04,58005101
2024-01-05,59458928
2024-01-06,58833455
2024-01-07,61024413
2024-01-08,57606458
2024-01-09,55685157
2024-01-10,52236107
2024-01-11,52404208
2024-01-12,49424643
2024-01-13,51966768
2024-01-14,49191692
2024-01-15,54590529
2024-01-16,58892829
2024-01-17,56361297
2024-01-18,56966303
2024-01-19,59565948
2024-01-20,62772161
2024-01-21,62191753
2024-01-22,59534497
2024-01-23,63040161
2024-01-24,77512337
2024-01-25,74655136
2024-01-26,72909305
2024-01-27,69277628
2024-01-28,68679302
2024-01-29,68328539
2024-01-30,70606381
2024-01-31,64281795
2024-02-01,67849794
2024-02-02,72816510
2024-02-03,82863114
2024-02-04,79332507
2024-02-05,79705724
2024-02-06,64399227
2024-02-07,83536172
2024-02-08,80738889
2024-02-09,77721348
2024-02-10,75194970
2024-02-11,80764852
2024-02-12,77782236
2024-02-13,80844113
2024-02-14,86140686
2024-02-15,83453724
2024-02-16,79911730
2024-02-17,75732977
2024-02-18,73896365
2024-02-19,78853684
2024-02-20,76622132
2024-02-21,76944581
2024-02-22,82806160
2024-02-23,75180222
2024-02-24,69283708
2024-02-25,62687350
2024-02-26,64841810
2024-02-27,65233597
2024-02-28,61172965
2024-02-29,5949966
