Date,Emissions(g)
2010-07-18,307.3576101458828
2010-07-19,309.1436635294119
2010-07-20,313.9091126901964
2010-07-21,327.90712457411803
2010-07-22,325.2264604160005
2010-07-23,328.80048128313723
2010-07-24,330.0767522984877
2010-07-25,345.1379854870587
2010-07-26,362.75242074083974
2010-07-27,372.8467056618492
2010-07-28,374.60475472403357
2010-07-29,391.4882489035292
2010-07-30,404.4633015878988
2010-07-31,425.92649235899125
2010-08-01,449.03062321210103
2010-08-02,470.1014706124365
2010-08-03,491.75418557848775
2010-08-04,520.6003337949577
2010-08-05,538.962399567059
2010-08-06,549.2569578164704
2010-08-07,556.3013175583193
2010-08-08,572.7718187159668
2010-08-09,583.7554529936139
2010-08-10,600.3852110494119
2010-08-11,632.318623540168
2010-08-12,659.601621456134
2010-08-13,693.2749792053775
2010-08-14,755.6697386487393
2010-08-15,771.7510080268906
2010-08-16,783.4503082944542
2010-08-17,781.7010282621849
2010-08-18,762.032094160672
2010-08-19,751.725372418151
2010-08-20,784.1481533526049
2010-08-21,769.4953872349572
2010-08-22,807.4330393707569
2010-08-23,854.9292169868902
2010-08-24,916.8182014144536
2010-08-25,976.5483072510924
2010-08-26,1032.7184698137817
2010-08-27,1043.7241681021844
2010-08-28,1068.246053082353
2010-08-29,1057.689555423193
2010-08-30,1035.017652883361
2010-08-31,1041.5870706500841
2010-09-01,1023.7689676047064
2010-09-02,1007.1949353196638
2010-09-03,1001.058877353949
2010-09-04,1010.7014157983192
2010-09-05,1013.3312761573105
2010-09-06,1021.2205743623532
2010-09-07,1000.1825401062183
2010-09-08,1024.8141793963023
2010-09-09,1023.3955766534461
2010-09-10,1057.066388555294
2010-09-11,1058.79388744874
2010-09-12,1091.588079230924
2010-09-13,1124.5039059442024
2010-09-14,1187.7441695946222
2010-09-15,1194.899980877983
2010-09-16,1279.1044492094115
2010-09-17,1310.1799111283522
2010-09-18,1387.367175423418
2010-09-19,1473.9124089993215
2010-09-20,1564.4922449530275
2010-09-21,1582.985280429072
2010-09-22,1638.14219572967
2010-09-23,1720.614639217123
2010-09-24,1806.3689628685922
2010-09-25,1835.9508609826175
2010-09-26,1836.5522467111296
2010-09-27,1870.1093440959648
2010-09-28,1942.589336558841
2010-09-29,2022.1199119450564
2010-09-30,1990.8373877719487
2010-10-01,1982.133418400641
2010-10-02,1900.4015336336065
2010-10-03,1862.044948165076
2010-10-04,1850.19544290072
2010-10-05,1789.3660967338465
2010-10-06,1802.3470897280927
2010-10-07,1828.3059641274529
2010-10-08,1828.3059641274529
2010-10-09,1935.8527414797413
2010-10-10,2039.6927650248958
2010-10-11,2050.818118141718
2010-10-12,2114.691166305734
2010-10-13,2138.6532477307296
2010-10-14,2239.2057336737666
2010-10-15,2296.628736025796
2010-10-16,2503.59198563974
2010-10-17,2696.7199690217185
2010-10-18,2884.38569538072
2010-10-19,3082.9363337139266
2010-10-20,3253.4571922278537
2010-10-21,3374.92522888032
2010-10-22,3497.315428032768
2010-10-23,3526.207967246294
2010-10-24,3622.503230601639
2010-10-25,3753.450305720899
2010-10-26,3985.662704053266
2010-10-27,4117.761067938923
2010-10-28,4260.849006413108
2010-10-29,4469.3567367786645
2010-10-30,4721.924599394246
2010-10-31,4880.641212153667
2010-11-01,4681.074311909808
2010-11-02,4364.337137149583
2010-11-03,4164.948881217966
2010-11-04,3973.152389190432
2010-11-05,3811.35717799321
2010-11-06,3539.70545315496
2010-11-07,3325.029125300717
2010-11-08,3554.1799465660515
2010-11-09,3750.565594666887
2010-11-10,4002.7536676083646
2010-11-11,4284.113333709331
2010-11-12,4351.843644770592
2010-11-13,4607.176480570974
2010-11-14,4921.947920813567
2010-11-15,4965.090659274661
2010-11-16,5033.044618202458
2010-11-17,5184.000842511322
2010-11-18,5397.214851514435
2010-11-19,5596.416637036195
2010-11-20,5433.775952756602
2010-11-21,5282.5610880573895
2010-11-22,5442.921172663297
2010-11-23,5494.125884219714
2010-11-24,5565.94575627029
2010-11-25,5541.3886119497865
2010-11-26,5769.898917897696
2010-11-27,6102.2792044539965
2010-11-28,6268.467826318473
2010-11-29,6507.3663474580335
2010-11-30,6879.744609616522
2010-12-01,7109.099300366293
2010-12-02,7317.680603560109
2010-12-03,7464.857635348578
2010-12-04,7929.1232209901855
2010-12-05,8496.032527509982
2010-12-06,8883.002671904149
2010-12-07,9243.722338131196
2010-12-08,9549.199459889827
2010-12-09,9804.069785816677
2010-12-10,10011.496335739708
2010-12-11,10233.9970561553
2010-12-12,10358.340705752069
2010-12-13,10192.474623668371
2010-12-14,10316.818273263876
2010-12-15,10678.922426284176
2010-12-16,10878.513693805759
2010-12-17,11054.565643012214
2010-12-18,10924.83618764831
2010-12-19,11045.286538668712
2010-12-20,11212.07764050072
2010-12-21,11506.182192170583
2010-12-22,11409.846253979253
2010-12-23,11395.17982245431
2010-12-24,11478.249030054416
2010-12-25,11826.72739876584
2010-12-26,11710.141439453924
2010-12-27,12055.243790369683
2010-12-28,12027.903979736515
2010-12-29,12115.53742951259
2010-12-30,12378.4377788408
2010-12-31,12531.79631594829
2011-01-01,12650.01326597244
2011-01-02,12978.011554853449
2011-01-03,13043.459361569225
2011-01-04,12931.378094429801
2011-01-05,13023.065764255756
2011-01-06,12910.984497116335
2011-01-07,13158.562464797484
2011-01-08,13272.268538275765
2011-01-09,13365.39879316922
2011-01-10,13479.180792177964
2011-01-11,13860.782505120393
2011-01-12,14020.803151797132
2011-01-13,14599.37087423393
2011-01-14,14808.636819561665
2011-01-15,14762.777799542215
2011-01-16,15177.984151988252
2011-01-17,15702.918080150683
2011-01-18,15548.045184396924
2011-01-19,15844.412897548797
2011-01-20,16118.868502790487
2011-01-21,16312.493788972088
2011-01-22,16562.12174595817
2011-01-23,16506.45314748472
2011-01-24,16603.880787366495
2011-01-25,16812.645624196433
2011-01-26,16965.74186255292
2011-01-27,16871.032356638127
2011-01-28,17074.694997863877
2011-01-29,17453.47228109717
2011-01-30,17679.578508941308
2011-01-31,17887.78149685009
2011-02-01,18441.673422090942
2011-02-02,18561.83316560588
2011-02-03,18726.43971428444
2011-02-04,19324.626593630506
2011-02-05,19623.71244075062
2011-02-06,19972.65099075915
2011-02-07,20520.985167215527
2011-02-08,20981.549431185726
2011-02-09,22124.12235943673
2011-02-10,23115.70977906205
2011-02-11,23542.35051630095
2011-02-12,24414.49189239218
2011-02-13,25359.111779261566
2011-02-14,25832.461902455827
2011-02-15,27062.379560226942
2011-02-16,27847.373613175238
2011-02-17,28730.493820880307
2011-02-18,30575.377900090523
2011-02-19,31159.974109596646
2011-02-20,32723.630026304592
2011-02-21,34216.462608783644
2011-02-22,35608.05608978201
2011-02-23,37742.9756929567
2011-02-24,38906.71665892663
2011-02-25,39604.09265044589
2011-02-26,42769.12428708234
2011-02-27,45652.42665271997
2011-02-28,46607.46352228205
2011-03-01,45669.4749870815
2011-03-02,45274.06886873015
2011-03-03,46543.65468201968
2011-03-04,48628.766360384805
2011-03-05,51407.72672996532
2011-03-06,53337.739733816
2011-03-07,54946.4359167019
2011-03-08,57081.3682058106
2011-03-09,57614.6404388736
2011-03-10,56295.06816543521
2011-03-11,50354.667394098484
2011-03-12,42496.58092693603
2011-03-13,34337.360602826564
2011-03-14,28447.907888742273
2011-03-15,23457.376173327848
2011-03-16,19076.6938153671
2011-03-17,15964.548619976233
2011-03-18,15784.770286243482
2011-03-19,15335.317331977876
2011-03-20,15694.878746065027
2011-03-21,16342.090240748988
2011-03-22,16467.937447673237
2011-03-23,16845.47432182309
2011-03-24,17043.232862240195
2011-03-25,17718.582336127827
2011-03-26,17897.150281079223
2011-03-27,17761.577244298067
2011-03-28,17835.140402481742
2011-03-29,18348.68700269807
2011-03-30,18065.138004092176
2011-03-31,18603.88917070154
2011-04-01,21243.412376935907
2011-04-02,24593.981380974525
2011-04-03,27707.7083750486
2011-04-04,30507.820180258233
2011-04-05,34001.274533864475
2011-04-06,36955.7277023745
2011-04-07,39140.64903563492
2011-04-08,39829.98551914049
2011-04-09,40023.77157810988
2011-04-10,41004.02744442161
2011-04-11,41519.8260683705
2011-04-12,41423.66298964731
2011-04-13,43131.08583115913
2011-04-14,43613.62408992489
2011-04-15,42500.091002392626
2011-04-16,43131.09489886953
2011-04-17,43390.92109950361
2011-04-18,43330.08582414761
2011-04-19,43690.327860119534
2011-04-20,42483.65124173962
2011-04-21,42663.86293683839
2011-04-22,44942.07100384256
2011-04-23,45680.409399409145
2011-04-24,45742.659237733664
2011-04-25,47745.544385430556
2011-04-26,49452.23274232316
2011-04-27,51075.661373725576
2011-04-28,51783.30556641801
2011-04-29,56843.0307100436
2011-04-30,63386.1432237187
2011-05-01,69807.5162067022
2011-05-02,76303.91765600951
2011-05-03,82601.91525770919
2011-05-04,89472.9582686459
2011-05-05,98752.95801537769
2011-05-06,102400.1872092
2011-05-07,104436.3112026
2011-05-08,107378.1886242
2011-05-09,111555.7975623
2011-05-10,116459.1964086
2011-05-11,122133.71330609999
2011-05-12,123867.64967970001
2011-05-13,129686.6500329
2011-05-14,139494.6618722
2011-05-15,146612.52936969997
2011-05-16,154021.1175459
2011-05-17,161833.0722326
2011-05-18,173351.9516584
2011-05-19,183505.05096710002
2011-05-20,197668.20697119998
2011-05-21,208136.5797028
2011-05-22,226165.8485673
2011-05-23,246910.8937593
2011-05-24,268728.4351911
2011-05-25,287304.0700645
2011-05-26,315059.3284144
2011-05-27,327747.1612891
2011-05-28,336935.4186975
2011-05-29,348175.98872180004
2011-05-30,346268.0246564
2011-05-31,341065.40610450006
2011-06-01,345635.3193276
2011-06-02,345297.11202279996
2011-06-03,355504.4432168
2011-06-04,375627.3056845
2011-06-05,383793.1166777
2011-06-06,415000.598773
2011-06-07,435926.6867265
2011-06-08,451476.93786739995
2011-06-09,480519.4615154
2011-06-10,506442.7074204
2011-06-11,536982.2739329999
2011-06-12,564960.1258421
2011-06-13,575196.1918410001
2011-06-14,604488.5598961
2011-06-15,663923.6034023999
2011-06-16,685328.469866
2011-06-17,709881.4837826
2011-06-18,729871.3297355
2011-06-19,772379.6844738999
2011-06-20,823639.6085292
2011-06-21,878465.3464977
2011-06-22,901558.0117608
2011-06-23,936844.3521971
2011-06-24,983789.7385491
2011-06-25,1000195.963104
2011-06-26,1006860.5491718001
2011-06-27,1025554.3609894001
2011-06-28,1024750.3260725
2011-06-29,978773.9119132999
2011-06-30,956371.0395494001
2011-07-01,907590.0786281001
2011-07-02,880391.8978329
2011-07-03,845158.4304213
2011-07-04,794535.1751599001
2011-07-05,732963.4189950001
2011-07-06,725958.6119876
2011-07-07,699512.631875
2011-07-08,708212.1941311
2011-07-09,708126.0508734001
2011-07-10,702071.5400141
2011-07-11,706999.8411253999
2011-07-12,719927.3144693
2011-07-13,754571.4124011999
2011-07-14,763730.7076221
2011-07-15,761617.0241095999
2011-07-16,767253.5134762999
2011-07-17,790504.0321139001
2011-07-18,799663.3273349
2011-07-19,801981.9411236
2011-07-20,780979.3081262001
2011-07-21,795376.113415
2011-07-22,796329.1298764
2011-07-23,796993.7931173999
2011-07-24,803742.8906651001
2011-07-25,809730.3004605
2011-07-26,842215.3763232001
2011-07-27,861270.2649255
2011-07-28,863557.1417246
2011-07-29,873465.4299019
2011-07-30,878038.2767287999
2011-07-31,884898.0003548
2011-08-01,795534.1542419001
2011-08-02,696775.3314876001
2011-08-03,600230.1893564999
2011-08-04,511733.19387879997
2011-08-05,418904.0239885
2011-08-06,331085.30916540005
2011-08-07,226655.18581249999
2011-08-08,221508.06971490002
2011-08-09,219669.6741213
2011-08-10,218520.67687529998
2011-08-11,220358.82774110002
2011-08-12,218290.8774261
2011-08-13,220129.27301970002
2011-08-14,221508.06971490002
2011-08-15,219828.9919503
2011-08-16,218573.0486347
2011-08-17,213521.8658536
2011-08-18,213674.8207585
2011-08-19,212350.59837340002
2011-08-20,215869.2953709
2011-08-21,220685.7841459
2011-08-22,228239.5539
2011-08-23,229996.94457589998
2011-08-24,229557.65808889997
2011-08-25,227580.7465334
2011-08-26,231095.5278853
2011-08-27,224505.25166850002
2011-08-28,214839.72531460001
2011-08-29,208029.6834904
2011-08-30,205634.77677059997
2011-08-31,209721.24237530003
2011-09-01,207964.8306107
2011-09-02,209411.9063755
2011-09-03,213971.92036589998
2011-09-04,217470.7944077
2011-09-05,220895.0264559
2011-09-06,221898.16590450003
2011-09-07,217788.94061
2011-09-08,217788.94061
2011-09-09,217356.2617749
2011-09-10,214760.9229476
