Date,E-waste(g)
2014-08-30,1215235.4024491848
2014-08-31,1337541.49671932
2014-09-01,1320737.4943622013
2014-09-02,1162712.4525641154
2014-09-03,1284632.589537224
2014-09-04,1373493.8330415348
2014-09-05,1230347.9562977566
2014-09-06,1288970.9599780734
2014-09-07,1382070.456114168
2014-09-08,1258602.161974031
2014-09-09,1148159.2297379184
2014-09-10,1235659.917656985
2014-09-11,1270248.3367142386
2014-09-12,1381303.8973114642
2014-09-13,1397161.6906551963
2014-09-14,1515832.9227104005
2014-09-15,1345346.618651831
2014-09-16,1465144.6601865392
2014-09-17,1623739.6278201235
2014-09-18,1623204.1037753376
2014-09-19,1542059.4439135855
2014-09-20,1491246.3656816352
2014-09-21,1546608.6632925267
2014-09-22,1413700.888176065
2014-09-23,1425321.8112829977
2014-09-24,1387249.4470267906
2014-09-25,1501103.2394077915
2014-09-26,1582355.8934519645
2014-09-27,1334749.9468645377
2014-09-28,1437844.9149083197
2014-09-29,1383615.0535992377
2014-09-30,1440578.4579318224
2014-10-01,1623499.220296814
2014-10-02,1479219.327689976
2014-10-03,1434202.2170336603
2014-10-04,1512935.462758851
2014-10-05,1754672.2557336106
2014-10-06,1674285.7052448601
2014-10-07,1595997.9751223428
2014-10-08,1416636.7457384886
2014-10-09,1383292.638764694
2014-10-10,1615444.5511351607
2014-10-11,1619078.4003442684
2014-10-12,1494647.4772819297
2014-10-13,1558215.6983617167
2014-10-14,1481988.4268826207
2014-10-15,1528674.984806231
2014-10-16,1546902.657699691
2014-10-17,1465017.944251229
2014-10-18,1636065.285049083
2014-10-19,1518539.498368312
2014-10-20,1426375.4537217338
2014-10-21,1429786.4197452455
2014-10-22,1720906.3413634626
2014-10-23,1584947.4871570521
2014-10-24,1702428.5651293758
2014-10-25,1603205.575192577
2014-10-26,1545980.983455893
2014-10-27,1508604.282423481
2014-10-28,1607985.1348245484
2014-10-29,1532765.482379346
2014-10-30,1761952.9461228698
2014-10-31,1945257.8830687003
2014-11-01,1801868.5621035525
2014-11-02,1758319.043003688
2014-11-03,1676592.6196423625
2014-11-04,1789173.1292311104
2014-11-05,1911700.9111645478
2014-11-06,1609049.9151785513
2014-11-07,1808904.555283322
2014-11-08,1735032.5025358254
2014-11-09,1683853.9759900558
2014-11-10,1843335.7784816497
2014-11-11,1654022.5773924899
2014-11-12,1612567.629439603
2014-11-13,1637444.0919102917
2014-11-14,1785634.7420316837
2014-11-15,1742896.2240911124
2014-11-16,1707176.6348726067
2014-11-17,1758904.3114589986
2014-11-18,1769233.678971258
2014-11-19,1715085.668332568
2014-11-20,1641419.301175647
2014-11-21,1560190.946958246
2014-11-22,1764585.791394048
2014-11-23,1748036.9328762975
2014-11-24,1725580.156183903
2014-11-25,1720838.047250193
2014-11-26,1621362.968508793
2014-11-27,1624565.1734978184
2014-11-28,1801642.0150794953
2014-11-29,1772512.2626708678
2014-11-30,1889619.418709935
2014-12-01,1927459.3271021936
2014-12-02,1776943.6568567192
2014-12-03,1569567.0040266705
2014-12-04,1777835.5068559863
2014-12-05,1899854.330201223
2014-12-06,1930751.1697021613
2014-12-07,1665852.353052767
2014-12-08,1813256.0657855258
2014-12-09,1818950.7882658558
2014-12-10,2036389.1282095425
2014-12-11,1737093.2280939065
2014-12-12,1907942.6696332374
2014-12-13,1823871.5559127252
2014-12-14,1778047.0058294495
2014-12-15,1864395.0916325913
2014-12-16,1720900.7707260675
2014-12-17,1720128.7682072753
2014-12-18,1680019.6896052493
2014-12-19,1580841.5788858582
