Name,Release Date,Deployment Date,Hashing Power (TH),Power (W),Weight (kg),Power efficiency (W/kg),Life span (years)
Whatsminer M60,2024-02-01,2024-04-01,172.0,3422.0,13.5,19.8953488372093,5
Whatsminer M60S,2024-02-01,2024-04-01,186.0,3441.0,13.5,18.5,5
Bitmain Antminer T21,2024-02-01,2024-04-01,190.0,3610.0,16.4,19.0,5
Bitmain Antminer T19 Pro Hyd.,2024-02-01,2024-04-01,235.0,5170.0,12.8,22.0,5
Whatsminer M63,2023-11-01,2023-12-31,334.0,6646.0,27.5,19.898203592814372,5
Whatsminer M63S,2023-11-01,2023-12-31,390.0,7215.0,27.5,18.5,5
Whatsminer M66,2023-11-01,2023-12-31,280.0,5572.0,17,19.9,5
Whatsminer M66S,2023-11-01,2023-12-31,298.0,5513.0,18,18.5,5
Canaan Avalon A1446,2023-09-01,2023-10-31,135.0,3310.0,13,24.51851851851852,5
Canaan Avalon A1466,2023-09-01,2023-10-31,150.0,3230.0,13,21.533333333333335,5
Canaan Avalon A1466I,2023-09-01,2023-10-31,170.0,3280.0,13,19.294117647058822,5
Bitmain Antminer S21,2023-09-01,2023-10-31,200.0,3500.0,15.4,17.5,5
Bitmain Antminer S21 Hyd.,2023-09-01,2023-10-31,335.0,5360.0,12.3,16.0,5
Bitmain Antminer S19j XP,2023-06-01,2023-07-31,151.0,3247.0,14.9,21.503311258278146,5
MicroBT Whatsminer M50S++,2023-05-01,2023-06-30,150.0,3300.0,11.7,22.0,5
MicroBT Whatsminer M53S++,2023-05-01,2023-06-30,320.0,7040.0,27.5,22.0,5
MicroBT Whatsminer M56S++,2023-05-01,2023-06-30,230.0,5060.0,17,22.0,5
Bitmain Antminer S19k Pro,2023-04-01,2023-05-31,136.0,3264.0,12.85,24.0,5
Bitmain Antminer S19 Pro Hydro,2023-01-01,2023-03-02,177.0,5221.0,15.6,29.497175141242938,5
MicroBT WhatsMiner M56,2023-01-01,2023-03-02,194.0,5550.0,13,28.608247422680414,5
MicroBT WhatsMiner M56S,2023-01-01,2023-03-02,212.0,5550.0,13,26.17924528301887,5
MicroBT Whatsminer M33S++,2022-12-01,2023-01-30,242.0,7260.0,27.5,30.0,5
Bitmain Antminer S19j Pro+,2022-12-01,2023-01-30,122.0,3355.0,14.2,27.5,5
MicroBT Whatsminer M50S+,2022-12-01,2023-01-30,136.0,3264.0,12.8,24.0,5
Canaan Avalon 1346,2022-11-01,2022-12-31,110.0,3300.0,13,30.0,5
Canaan Avalon 1366,2022-11-01,2022-12-31,130.0,3250.0,13,25.0,5
Bitmain Antminer T19 Hydro,2022-10-01,2022-11-30,145.0,5451.0,15.8,37.59310344827586,5
Bitmain Antminer S19 Hydro ,2022-10-01,2022-11-30,158.0,5438.0,17.5,34.41772151898734,5
Bitmain Antminer S19 XP Hydro ,2022-10-01,2022-11-30,255.0,5304.0,13.1,20.8,5
Bitmain Antminer S19 XP,2022-07-01,2022-08-30,140.0,3010.0,14.4,21.5,5
Bitmain Antminer S19 Pro+ Hyd,2022-05-01,2022-06-30,198.0,5445.0,15.2,27.5,5
Canaan Avalon 1266,2022-04-02,2022-06-01,100.0,3500.0,12.8,35.0,5
MicroBT Whatsminer M50,2022-04-01,2022-05-31,114.0,3306.0,12.8,29.0,5
MicroBT Whatsminer M50S,2022-04-01,2022-05-31,126.0,3276.0,12.8,26.0,5
MicroBT Whatsminer M53,2022-04-01,2022-05-31,230.0,6670.0,27.5,29.0,5
MicroBT Whatsminer M53S,2022-04-01,2022-05-31,260.0,6760.0,27.5,26.0,5
Canaan AvalonMiner 1126 Pro,2021-08-01,2021-09-30,68.0,3420.0,11.2,50.294117647058826,5
Bitmain Antminer T19 (88Th),2021-08-01,2021-09-30,88.0,3344.0,14.2,38.0,5
Bitmain Antminer S19j Pro (96Th),2021-08-01,2021-09-30,96.0,2832.0,14.6,29.5,5
Bitmain Antminer S19j Pro (104Th),2021-07-01,2021-08-30,104.0,3068.0,13.2,29.5,5
Bitmain Antminer S19j (90Th),2021-06-01,2021-07-31,90.0,3250.0,13.2,36.111111111111114,5
Bitmain Antminer S19j Pro (100Th),2021-06-01,2021-07-31,100.0,3050.0,13.2,30.5,5
Aisen A1 Pro,2021-05-01,2021-06-30,23.0,2200.0,9,95.65217391304348,5
Canaan AvalonMiner 1246,2021-02-01,2021-04-02,90.0,3420.0,12.8,38.0,5
MicroBT Whatsminer M31S+,2020-12-01,2021-01-30,80.0,3360.0,12.5,42.0,5
MicroBT Whatsminer M32S,2020-11-01,2020-12-31,66.0,3432.0,12.5,52.0,5
StrongU Hornbill H8,2020-10-01,2020-11-30,74.0,3330.0,11.5,45.0,5
MicroBT Whatsminer M30S+,2020-10-01,2020-11-30,100.0,3472.0,12,34.72,5
MicroBT Whatsminer M30S++,2020-10-01,2020-11-30,112.0,3400.0,12.7,30.357142857142858,5
Canaan AvalonMiner 1166 Pro,2020-08-01,2020-09-30,81.0,3400.0,12.8,41.97530864197531,5
Canaan AvalonMiner 1146 Pro,2020-08-01,2020-09-30,63.0,3276.0,12.8,52.0,5
MicroBT Whatsminer M32,2020-07-01,2020-08-30,62.0,3348.0,10.5,54.0,5
Bitmain Antminer T19 (84Th),2020-06-01,2020-07-31,84.0,3150.0,14.2,37.5,5
Bitmain Antminer S19 Pro (110Th),2020-05-01,2020-06-30,110.0,3250.0,13.2,29.545454545454547,5
Bitmain Antminer S19 (95Th),2020-05-01,2020-06-30,95.0,3250.0,13.2,34.21052631578947,5
MicroBT Whatsminer M30S,2020-04-01,2020-05-31,86.0,3268.0,10.5,38.0,5
