Month,Hashrate(H/s)
2012-03,268174854969631.0
2012-04,344704651553085.0
2012-05,374761856657879.0
2012-06,380263982415212.0
2012-07,443717088628927.0
2012-08,546140481049670.0
2012-09,652078717383509.0
2012-10,727268638183316.0
2012-11,766373836012935.0
2012-12,720753526996505.0
2013-01,708518509006999.0
2013-02,812885297504517.0
2013-03,1377856477562548.0
2013-04,2081267299103140.0
2013-05,2792196117632904.0
2013-06,4458599318850590.0
2013-07,7111693477662440.0
2013-08,1.422614218768258e+16
2013-09,3.0062036900991572e+16
2013-10,7.632180023157706e+16
2013-11,1.426797017863428e+17
2013-12,2.680082630673679e+17
2014-01,4.811239026696705e+17
2014-02,7.020324669102132e+17
2014-03,1.1152344079319366e+18
2014-04,1.6454454623483318e+18
2014-05,2.2911704986566907e+18
2014-06,3.2786522581599165e+18
2014-07,4.21737120932252e+18
2014-08,5.537184582071921e+18
2014-09,7.237832763159477e+18
2014-10,8.449630232476188e+18
2014-11,9.010332113822466e+18
2014-12,9.247942414464186e+18
2015-01,9.853901446910829e+18
2015-02,9.622526500636918e+18
2015-03,1.1014425811848808e+19
2015-04,1.0606506010151993e+19
2015-05,1.1038522758322387e+19
2015-06,1.1019140375725224e+19
2015-07,1.194319137241807e+19
2015-08,1.2622339936361261e+19
2015-09,1.3262795011037977e+19
2015-10,1.4322201439779467e+19
2015-11,1.5784264720007068e+19
2015-12,2.1974440413335273e+19
2016-01,2.747010935559611e+19
2016-02,3.413144907715777e+19
2016-03,3.809691786614543e+19
2016-04,3.9611289223281615e+19
2016-05,4.524028306591092e+19
2016-06,4.59245898928446e+19
2016-07,4.814348156292273e+19
2016-08,5.0486432864344015e+19
2016-09,5.304410911631181e+19
2016-10,5.938005235910569e+19
2016-11,6.1571865701625045e+19
2016-12,7.243958509461408e+19
2017-01,8.748577760998805e+19
2017-02,9.359761989510275e+19
2017-03,1.1149030469085145e+20
2017-04,1.165354249563054e+20
2017-05,1.393931527848949e+20
2017-06,1.5693983190272013e+20
2017-07,1.936327164604982e+20
2017-08,2.0290167314239953e+20
2017-09,2.4785775407931562e+20
2017-10,2.9534532564440554e+20
2017-11,3.1164002954980884e+20
2017-12,4.2726116430615904e+20
2018-01,5.6813117637827396e+20
2018-02,6.376527120659249e+20
2018-03,7.955926930021759e+20
2018-04,8.75942099627069e+20
2018-05,1.0068775385403789e+21
2018-06,1.160371720530101e+21
2018-07,1.269871557181212e+21
2018-08,1.5569427507063182e+21
2018-09,1.598537284085177e+21
2018-10,1.651242324526996e+21
2018-11,1.413455415786139e+21
2018-12,1.227342028850098e+21
2019-01,1.339652146517444e+21
2019-02,1.2766767042782448e+21
2019-03,1.4486625492248088e+21
2019-04,1.4266783845456166e+21
2019-05,1.6304905345801262e+21
2019-06,1.7362270518554085e+21
2019-07,2.1243020126766288e+21
2019-08,2.398886725938835e+21
2019-09,2.7607226170429664e+21
2019-10,3.0496081067840163e+21
2019-11,2.840775327682123e+21
2019-12,3.04016756019855e+21
2020-01,3.50721091216218e+21
2020-02,3.3439084338700506e+21
2020-03,3.4416799486038633e+21
2020-04,3.4662720599813605e+21
2020-05,3.40327567256891e+21
2020-06,3.46649385650171e+21
2020-07,3.91412587607715e+21
2020-08,3.981055856106961e+21
2020-09,4.20498758278501e+21
2020-10,4.2598974295455296e+21
2020-11,4.0175340553700497e+21
2020-12,4.348698703893699e+21
2021-01,4.803913612365489e+21
2021-02,4.5053318476891695e+21
2021-03,5.0898781050586e+21
2021-04,4.928278823603969e+21
2021-05,5.17811725694634e+21
2021-06,3.8033685989800144e+21
2021-07,3.1873412186221854e+21
2021-08,3.8867986476842007e+21
2021-09,4.21841425471125e+21
2021-10,4.81831793521407e+21
2021-11,5.00607059361764e+21
2021-12,5.521987540281981e+21
2022-01,6.04230538969833e+21
2022-02,5.75333981220745e+21
2022-03,6.49412196972389e+21
2022-04,6.48916521351143e+21
2022-05,7.042867308422339e+21
2022-06,6.628711735982689e+21
2022-07,6.48033100447277e+21
2022-08,6.759278515499871e+21
2022-09,7.077155888494359e+21
2022-10,8.436171818440151e+21
2022-11,8.01993085184703e+21
2022-12,7.98151584512782e+21
2023-01,8.813588987245018e+21
2023-02,8.581313173253031e+21
2023-03,1.0646823899373213e+22
2023-04,1.0618208492337588e+22
2023-05,1.1623152700125929e+22
2023-06,1.1459256516550001e+22
2023-07,1.215457181546349e+22
2023-08,1.234456486833584e+22
2023-09,1.269848118527405e+22
2023-10,1.416769542275241e+22
2023-11,1.4733889675854042e+22
2023-12,1.631645247845466e+22
2024-01,1.67680054581904e+22
2024-02,1.7223061560825127e+22
2024-03,1.369980859634332e+22
