Date,Power Demand(kWh)
2010-07-18,586.5603247058832
2010-07-19,589.9688235294119
2010-07-20,599.0631921568634
2010-07-21,625.7769552941184
2010-07-22,620.6611840000008
2010-07-23,627.4818345098039
2010-07-24,629.9174662184879
2010-07-25,658.6602776470585
2010-07-26,692.2756121008391
2010-07-27,711.5395146218495
2010-07-28,714.8945700840335
2010-07-29,747.1149788235289
2010-07-30,771.8765297478985
2010-07-31,812.8368174789911
2010-08-01,856.9286702521009
2010-08-02,897.140211092436
2010-08-03,938.462186218488
2010-08-04,993.5120873949575
2010-08-05,1028.5541976470593
2010-08-06,1048.2003011764702
2010-08-07,1061.643735798319
2010-08-08,1093.0759899159673
2010-08-09,1114.0371240336144
2010-08-10,1145.773303529412
2010-08-11,1206.714930420168
2010-08-12,1258.7817203361337
2010-08-13,1323.0438534453767
2010-08-14,1442.1178218487391
2010-08-15,1472.8072672268904
2010-08-16,1495.1341761344545
2010-08-17,1491.795855462185
2010-08-18,1454.259721680672
2010-08-19,1434.5904053781505
2010-08-20,1496.4659415126046
2010-08-21,1468.5026473949565
2010-08-22,1540.902746890757
2010-08-23,1631.5443072268897
2010-08-24,1749.6530561344537
2010-08-25,1863.641807731092
2010-08-26,1970.836774453781
2010-08-27,1991.840015462184
2010-08-28,2038.6375058823528
2010-08-29,2018.4915179831926
2010-08-30,1975.2245284033606
2010-08-31,1987.7615852100837
2010-09-01,1953.7575717647067
2010-09-02,1922.127739159664
2010-09-03,1910.4177048739484
2010-09-04,1928.8194957983185
2010-09-05,1933.8383132773106
2010-09-06,1948.8942258823536
2010-09-07,1908.7453055462186
2010-09-08,1955.752250756302
2010-09-09,1953.0449936134464
2010-09-10,2017.3022682352942
2010-09-11,2020.599021848741
2010-09-12,2083.1833573109234
2010-09-13,2145.999820504203
2010-09-14,2266.6873465546228
2010-09-15,2280.3434749579824
2010-09-16,2441.0390252088
2010-09-17,2500.343341848
2010-09-18,2647.6472813424
2010-09-19,2812.8099408384
2010-09-20,2985.6722231928
2010-09-21,3020.964275628
2010-09-22,3126.2255643695994
2010-09-23,3283.6157236967997
2010-09-24,3447.269013108
2010-09-25,3503.7230171424003
2010-09-26,3504.8706998304
2010-09-27,3568.9109620152
2010-09-28,3707.2315583184
2010-09-29,3859.0074655440003
2010-09-30,3799.307991931201
2010-10-01,3782.697363360001
2010-10-02,3626.7204840336
2010-10-03,3553.5208934448
2010-10-04,3530.90733378
2010-10-05,3414.8207952936
2010-10-06,3439.5936826872003
2010-10-07,3489.1335193272
2010-10-08,3489.1335193272
2010-10-09,3694.3754608392
2010-10-10,3892.5434447039997
2010-10-11,3913.7750346216
2010-10-12,4035.6701647056
2010-10-13,4081.3993277303994
2010-10-14,4273.2933848736
2010-10-15,4382.8792672248
2010-10-16,4777.8473008392
2010-10-17,5146.412154621599
2010-10-18,5504.55285378
2010-10-19,5883.466285713599
2010-10-20,6208.8877714272
2010-10-21,6440.69700168
2010-10-22,6674.266084032
2010-10-23,6729.404517645599
2010-10-24,6913.1741042016
2010-10-25,7163.0731025208
2010-10-26,7606.2265344528005
2010-10-27,7858.322648738402
2010-10-28,8131.391233612801
2010-10-29,8529.3067495776
2010-10-30,9011.3064873936
2010-10-31,9314.200786552801
2010-11-01,8933.347923492
2010-11-02,8328.887666315999
2010-11-03,7948.375727515201
2010-11-04,7582.351887768
2010-11-05,7273.582400750401
2010-11-06,6755.16307854
2010-11-07,6345.4754299632
2010-11-08,6782.7861575688
2010-11-09,7157.5679287536
2010-11-10,7638.842877115199
2010-11-11,8175.7888047888
2010-11-12,8305.045123608
2010-11-13,8792.3215278072
2010-11-14,9393.030383232
2010-11-15,9475.363853577599
2010-11-16,9605.046981302401
2010-11-17,9893.1313788384
2010-11-18,10300.0283425848
2010-11-19,10680.1844218248
2010-11-20,10369.8014365584
2010-11-21,10081.223450491201
2010-11-22,10387.254146304
2010-11-23,10484.973061488
2010-11-24,10622.033886012001
2010-11-25,10575.1691067744
2010-11-26,11011.257476904
2010-11-27,11645.571000866405
2010-11-28,11962.7248593864
2010-11-29,12418.638067668
2010-11-30,13129.2836061384
2010-12-01,13566.983397645598
2010-12-02,13965.0393197712
2010-12-03,14245.911517840797
2010-12-04,15131.9145438744
2010-12-05,16213.802533415996
2010-12-06,16952.2951753896
2010-12-07,17640.6914849832
2010-12-08,18223.663091392802
2010-12-09,18710.056843161597
2010-12-10,19105.9090376712
2010-12-11,19530.528733120802
2010-12-12,19767.825774336
2010-12-13,19451.287449748797
2010-12-14,19688.5844909616
2010-12-15,20379.622950924
2010-12-16,20760.5223164232
2010-12-17,21096.4993187256
2010-12-18,20848.9240222296
2010-12-19,21078.7911043296
2010-12-20,21397.09473378
2010-12-21,21958.3629621576
2010-12-22,21774.5157518688
2010-12-23,21746.5263787296
2010-12-24,21905.0554008672
2010-12-25,22570.09045566
2010-12-26,22347.5981668968
2010-12-27,23006.1904396368
2010-12-28,22954.0152285048
2010-12-29,23121.2546364744
2010-12-30,23622.9728603832
2010-12-31,23915.6418243288
2011-01-01,24187.40586228
2011-01-02,24814.5536421672
2011-01-03,24939.6928519488
2011-01-04,24725.3883258696
2011-01-05,24900.699358041602
2011-01-06,24686.394831962403
2011-01-07,25159.775267299203
2011-01-08,25377.186497659197
2011-01-09,25555.2558186792
2011-01-10,25772.8122221376
2011-01-11,26502.4522086432
2011-01-12,26808.4190282928
2011-01-13,27914.6670635448
2011-01-14,28314.7931540376
2011-01-15,28227.1086033312
2011-01-16,29021.0022026544
2011-01-17,30024.699962047198
2011-01-18,29728.575878388005
2011-01-19,30295.244545982398
2011-01-20,30820.0162577256
2011-01-21,31190.236690195197
2011-01-22,31667.5367991552
2011-01-23,31561.095884292
2011-01-24,31747.3820026128
2011-01-25,32146.549950662404
2011-01-26,32439.27698384879
2011-01-27,32258.188062405603
2011-01-28,32647.6003783248
2011-01-29,33371.839925616
2011-01-30,33804.1654090656
2011-01-31,34202.25907619521
2011-02-01,35261.32585485841
2011-02-02,35491.0767984816
2011-02-03,35805.812073201596
2011-02-04,36949.5728367696
2011-02-05,37521.438701244
2011-02-06,38188.6252213368
