Miner_name;Type;Date of release;UNIX_date_of_release;Hashing power (Th/s);Power (W);Efficiency (J/Gh);Weight in kg
Bitmain Antminer S3;NAN;01/07/2014;1,404,172,800;0.4780000;366;0.7657;5.2
Bitmain Antminer S5;NAN;01/12/2014;1,417,392,000;1;590;0.5108;12.5
Bitmain Antminer S7;NAN;01/09/2015;1,441,065,600;5;1,293;0.2734;3.9
Bitmain Antminer S9 (11.5Th);NAN;01/06/2016;1,464,739,200;12;1,127;0.0980;4.2
Bitmain Antminer S7-LN;NAN;01/06/2016;1,464,739,200;3;697;0.2581;7.5
Bitmain Antminer R4;NAN;01/02/2017;1,485,907,200;9;845;0.0971;2.5
Bitmain Antminer S9 (12.5Th);NAN;01/02/2017;1,485,907,200;13;1,225;0.0980;4.2
Bitmain Antminer T9 (11.5Th);NAN;01/04/2017;1,491,004,800;12;1,450;0.1261;3.8
Canaan AvalonMiner 741;NAN;01/04/2017;1,491,004,800;7;1,150;0.1575;4.3
Bitmain Antminer S9 (13Th);NAN;01/07/2017;1,498,867,200;13;1,300;0.1000;4.2
Bitmain Antminer T9 (12.5Th);NAN;01/08/2017;1,501,545,600;13;1,576;0.1261;3.8
Bitmain Antminer S9 (13.5Th);NAN;01/09/2017;1,504,224,000;14;1,323;0.0980;4.2
Pantech SX6;NAN;01/09/2017;1,504,224,000;9;1,000;0.1176;3
Bitmain Antminer S9 (14Th);NAN;01/11/2017;1,509,494,400;14;1,372;0.0980;4.2
Bitfury B8;NAN;01/12/2017;1,512,086,400;49;6,400;0.1306;37
Ebang Ebit E9+;NAN;01/01/2018;1,514,764,800;9;1,300;0.1444;4.7
Bitmain Antminer T9+ (10.5Th);NAN;01/01/2018;1,514,764,800;11;1,432;0.1364;4.2
MicroBT Whatsminer M3;NAN;01/01/2018;1,514,764,800;12;2,000;0.1667;8.1
Bitfily Snow Panther A1;NAN;01/01/2018;1,514,764,800;49;5,400;0.1102;40
Pantech WX6;NAN;01/01/2018;1,514,764,800;34;5,000;0.1471;13
Ebang Ebit E10;NAN;01/02/2018;1,517,443,200;18;1,650;0.0917;9.8
Canaan AvalonMiner 821;NAN;01/02/2018;1,517,443,200;12;1,200;0.1043;4.7
Bitmain Antminer V9 (4Th);NAN;01/03/2018;1,519,862,400;4;1,027;0.2568;3.05
MicroBT Whatsminer M3X;NAN;01/03/2018;1,519,862,400;13;2,050;0.1640;7.5
Halong Mining DragonMint T1;NAN;01/04/2018;1,522,540,800;16;1,480;0.0925;6
Canaan AvalonMiner 841;NAN;01/04/2018;1,522,540,800;14;1,290;0.0949;4.7
ASICminer 8 Nano Pro;NAN;01/05/2018;1,525,132,800;76;4,000;0.0526;68
Innosilicon T2 Terminator;NAN;01/05/2018;1,525,132,800;17;1,570;0.0913;7.5
Bitmain Antminer S9i (14Th);NAN;01/05/2018;1,525,132,800;14;1,320;0.0943;4.2
Bitmain Antminer S9i (13.5Th);NAN;01/05/2018;1,525,132,800;14;1,310;0.0970;4.2
Bitmain Antminer S9i (13Th);NAN;01/05/2018;1,525,132,800;13;1,280;0.0985;4.2
Ebang Ebit E9.2;NAN;01/05/2018;1,525,132,800;12;1,320;0.1100;4.7
Ebang Ebit E9.3;NAN;01/05/2018;1,525,132,800;16;1,760;0.1100;6.9
Bitfily Snow Panther B1;NAN;01/07/2018;1,530,403,200;16;1,380;0.0863;4.5
Aladdin Miner 16Th/s Bitcoin;NAN;01/07/2018;1,530,403,200;16;1,400;0.0875;4.48
Ebang Ebit E9i;NAN;01/07/2018;1,530,403,200;14;1,420;0.1052;5.5
Innosilicon T2 Turbo;NAN;01/08/2018;1,533,081,600;24;1,980;0.0825;7.5
Bitfily Snow Panther B1+;NAN;01/08/2018;1,533,081,600;25;2,100;0.0857;5.7
Bitmain Antminer S9j (14.5Th);NAN;01/08/2018;1,533,081,600;15;1,350;0.0931;4.2
Bitmain Antminer S9 Hydro (18Th);NAN;01/08/2018;1,533,081,600;18;1,728;0.0960;5.15
MicroBT Whatsminer M10S;NAN;01/09/2018;1,535,760,000;55;3,500;0.0636;10.7
MicroBT Whatsminer M10;NAN;01/09/2018;1,535,760,000;33;2,145;0.0650;8.55
Innosilicon T2 Turbo+ 32T;NAN;01/09/2018;1,535,760,000;32;2,200;0.0688;7.5
Canaan AvalonMiner 921;NAN;01/09/2018;1,535,760,000;20;1,700;0.0850;5.5
Ebang Ebit E11++;NAN;01/10/2018;1,538,352,000;44;1,980;0.0450;6
