Date,Emissions(g)
2017-08-01,4870.5438128294
2017-08-02,408.6534510744
2017-08-03,660.6324139879999
2017-08-04,273.7628122775
2017-08-05,183.0678818863
2017-08-06,633.4010699693
2017-08-07,711.0024821231
2017-08-08,197.4857574861
2017-08-09,694.2618455727
2017-08-10,734.7518214755
2017-08-11,491.4303041445
2017-08-12,532.8434503248
2017-08-13,567.3367995039
2017-08-14,666.5558521771001
2017-08-15,825.5106573199
2017-08-16,618.1608061369001
2017-08-17,475.6228392086
2017-08-18,476.0832382829
2017-08-19,962.4570969949
2017-08-20,2127.0772978235
2017-08-21,3314.0408282078
2017-08-22,4042.2850422603997
2017-08-23,383.70096696039997
2017-08-24,3319.6575346664
2017-08-25,3903.2909839533
2017-08-26,3843.1146777506
2017-08-27,358.6366833917
2017-08-28,1385.4459777506
2017-08-29,1070.5541859879
2017-08-30,653.5210556723999
2017-08-31,652.7833824055
2017-09-01,879.3362621788
2017-09-02,1015.8545737828
2017-09-03,996.0450416049
2017-09-04,974.9817851108
2017-09-05,850.4003018649
2017-09-06,1063.4047346083
2017-09-07,1570.5814846173
2017-09-08,1419.947537277
2017-09-09,1198.6987038275
2017-09-10,1179.5352707876
2017-09-11,1241.3393615358998
2017-09-12,1339.7733845272
2017-09-13,1203.1989994858
2017-09-14,1290.7199556496
2017-09-15,1184.8279034043
2017-09-16,1193.9757952914
2017-09-17,1233.4427614374001
2017-09-18,2482.9298387327
2017-09-19,1850.0261778807999
2017-09-20,1904.8328714047002
2017-09-21,359.0034672074
2017-09-22,2814.6601061855004
2017-09-23,2392.4160058793
2017-09-24,1788.6246721602001
2017-09-25,1915.2344074444002
2017-09-26,2133.0335611154997
2017-09-27,1869.8268878866
2017-09-28,708.3638959883999
2017-09-29,157.1188277187
2017-09-30,2453.1671382831
2017-10-01,3973.569459142
2017-10-02,2055.0903936684
2017-10-03,192.9052702975
2017-10-04,3063.8450446961
2017-10-05,4037.7455405099004
2017-10-06,399.3625200262
2017-10-07,818.5359139151
2017-10-08,614.9841785182
2017-10-09,528.8633106595
2017-10-10,649.4868629069
2017-10-11,575.7470172861999
2017-10-12,1689.8703604262
2017-10-13,2890.4446784678
2017-10-14,505.1671665508
2017-10-15,227.52692218660002
2017-10-16,300.0219290411
2017-10-17,167.2299873309
2017-10-18,512.0888736665
2017-10-19,620.1985035723001
2017-10-20,644.7742516272
2017-10-21,401.3354264555
2017-10-22,79.01474237275082
2017-10-23,471.0938749814
2017-10-24,679.455434561
2017-10-25,743.7243121212
2017-10-26,1715.890281802
2017-10-27,5086.4529559243
2017-10-28,5494.2870716933
2017-10-29,667.7799334199001
2017-10-30,556.1844357945
2017-10-31,549.8836574677
2017-11-01,579.073008147
2017-11-02,578.51999722
2017-11-03,2550.6367985404
2017-11-04,2156.4662147311
2017-11-05,1302.2802206998
2017-11-06,1603.2044060465
2017-11-07,1597.6950005257
2017-11-08,1564.4528602210999
2017-11-09,1013.9756331522
2017-11-10,3711.9522225448
2017-11-11,6173.357020994799
2017-11-12,7367.7230016278
2017-11-13,1275.7289741977
2017-11-14,1864.0532678846
2017-11-15,1988.7705316207
2017-11-16,906.3417068966
2017-11-17,1257.5903263949
2017-11-18,1886.9599648759
2017-11-19,1375.2777053035
2017-11-20,1495.1824221460001
2017-11-21,1630.8536188716
2017-11-22,1637.645318719
2017-11-23,2273.480385391
2017-11-24,2133.0123505674
2017-11-25,2033.3247088511998
2017-11-26,1879.18832111
2017-11-27,1623.4031041245
2017-11-28,1739.4345689075
2017-11-29,1587.8122063903
2017-11-30,1401.1045713388
2017-12-01,1555.3403511511
2017-12-02,1342.1478892473
2017-12-03,1500.1656165961
2017-12-04,1497.2027900309001
2017-12-05,1473.664492409
2017-12-06,1529.8407014396998
2017-12-07,707.7759847062
2017-12-08,1294.7553826312999
2017-12-09,1173.7587161454999
2017-12-10,1076.75457987
2017-12-11,1123.3720372477
2017-12-12,1110.9303499141001
2017-12-13,1272.6759094002
2017-12-14,1454.3069903048
2017-12-15,1175.148799811
2017-12-16,1169.8891118447
2017-12-17,1209.161138561
2017-12-18,1592.4197469383
2017-12-19,1682.4880976253999
2017-12-20,2879.8788428709
2017-12-21,2512.9033929257002
2017-12-22,1940.9638114454
2017-12-23,2432.1290322161
2017-12-24,2460.1920868304
2017-12-25,2327.0346465739
2017-12-26,2373.6881677411
2017-12-27,2334.8257985265
2017-12-28,2251.4567461461
2017-12-29,2011.9541135317
2017-12-30,2451.6331011268
2017-12-31,2424.7710933924004
2018-01-01,2214.6553087836996
2018-01-02,2473.6695754222
2018-01-03,2237.8330366863
2018-01-04,2249.3353395368
2018-01-05,1973.1939094321
2018-01-06,2166.6061547019
2018-01-07,2200.8721473286
2018-01-08,1866.9406752116001
2018-01-09,2156.7955477558
2018-01-10,2510.0611053365
2018-01-11,2710.7106703318
2018-01-12,2425.1677980018
2018-01-13,2884.3947512537
2018-01-14,3061.3752933855003
2018-01-15,2531.6414560078
2018-01-16,2691.0532778128004
2018-01-17,2388.3595954694
2018-01-18,2620.8712623471
2018-01-19,2584.5091748515997
