Date,Emissions(g)
2018-11-15,2703298.6555097
2018-11-16,3189421.5088482997
2018-11-17,2777727.2934641996
2018-11-18,2286233.4094752
2018-11-19,1914753.1884303999
2018-11-20,2146513.9523448
2018-11-21,2984071.7405434996
2018-11-22,2567092.6311283
2018-11-23,2036033.7167921998
2018-11-24,2139917.6781900995
2018-11-25,1406961.4770769002
2018-11-26,870083.6507333
2018-11-27,689343.9039692
2018-11-28,609333.6696326
2018-11-29,1053215.7974334
2018-11-30,1077933.9578909
2018-12-01,1012871.8752926999
2018-12-02,1006140.7701195001
2018-12-03,1166153.0306212
2018-12-04,910299.3431309001
2018-12-05,981479.1076488999
2018-12-06,1059395.9827563001
2018-12-07,870189.5457979
2018-12-08,878227.4889047
2018-12-09,1055530.6823431002
2018-12-10,1023511.2674891001
2018-12-11,800237.3152097999
2018-12-12,936904.3598691
2018-12-13,952228.8564456
2018-12-14,883088.2446679
2018-12-15,643514.0998657
2018-12-16,735537.979072
2018-12-17,767017.9282730999
2018-12-18,656112.5511830001
2018-12-19,681327.3514053
2018-12-20,581732.0482098999
2018-12-21,856465.4687334
2018-12-22,774337.5550815
2018-12-23,758907.8082203999
2018-12-24,730661.2308373
2018-12-25,703967.7969598001
2018-12-26,604525.2320806001
2018-12-27,604637.4570071
2018-12-28,654910.7171159
2018-12-29,796694.7396729001
2018-12-30,647804.0395031
2018-12-31,620405.9111865
2019-01-01,628858.1001839
2019-01-02,686287.4476073999
2019-01-03,745820.6816722001
2019-01-04,736205.8952506
2019-01-05,734425.0950396
2019-01-06,695303.8444156
2019-01-07,631160.4659061001
2019-01-08,690204.7540999
2019-01-09,660837.0701067001
2019-01-10,606950.6610428999
2019-01-11,608129.7392795001
2019-01-12,795638.832469
2019-01-13,710977.2013835001
2019-01-14,673998.6891494
2019-01-15,741500.2745094999
2019-01-16,684474.5403821
2019-01-17,680991.3819668001
2019-01-18,626833.5061433001
2019-01-19,628980.4007287
2019-01-20,633438.8687956
2019-01-21,803107.9718576
2019-01-22,669986.3450465
2019-01-23,668006.5297596
2019-01-24,662016.5000152999
2019-01-25,668498.4529387
2019-01-26,590643.4298817
2019-01-27,646599.5642898
2019-01-28,712275.8298734999
2019-01-29,671645.5870519001
2019-01-30,678185.4345883001
2019-01-31,741097.5526321001
2019-02-01,692470.0152484
2019-02-02,734494.7731343
2019-02-03,668023.369619
2019-02-04,597499.4252732
2019-02-05,794762.143313
2019-02-06,610881.3908040001
2019-02-07,620751.4888963
2019-02-08,608933.9307978001
2019-02-09,701986.6086545
2019-02-10,609907.4279566
2019-02-11,622691.0518342
2019-02-12,719526.7772380001
2019-02-13,650985.2401036
2019-02-14,713457.5598789001
2019-02-15,595304.8239605001
2019-02-16,581625.0525802
2019-02-17,682879.3459554999
2019-02-18,687304.2466711
2019-02-19,598977.5919792
2019-02-20,620016.7462908999
2019-02-21,439805.9087154
2019-02-22,597470.294167
2019-02-23,541263.1842445
2019-02-24,542519.4894472001
2019-02-25,545953.2697391
2019-02-26,548592.0172918001
2019-02-27,577143.4712806
2019-02-28,515329.0297574
2019-03-01,581246.4279274
2019-03-02,643357.0893047999
2019-03-03,630804.2902153
2019-03-04,596807.5061925
2019-03-05,626988.455047
2019-03-06,548567.3468776001
2019-03-07,695065.7129602999
2019-03-08,466313.4628766
2019-03-09,570851.8347387
2019-03-10,594365.9356692
2019-03-11,562575.3783609
2019-03-12,496508.9088628
2019-03-13,520315.9090206001
2019-03-14,527960.9342793
2019-03-15,597366.0765744001
2019-03-16,479492.061134
2019-03-17,556771.3141726999
2019-03-18,480361.2103453
2019-03-19,600652.5864398
2019-03-20,413016.04183349997
2019-03-21,510972.80897599994
2019-03-22,418851.6226527
2019-03-23,597452.9941193
2019-03-24,547159.75124
2019-03-25,616419.7273434
2019-03-26,626835.6453678
2019-03-27,579950.6794427999
2019-03-28,527781.0133286
2019-03-29,448337.4370537
2019-03-30,493223.06064209994
2019-03-31,571280.3019821
2019-04-01,594541.2265357
2019-04-02,502889.8440968
2019-04-03,523601.91875630006
2019-04-04,562103.0623076
2019-04-05,516340.60539840005
2019-04-06,461239.4510767
2019-04-07,424573.7148364
2019-04-08,463996.48024919996
2019-04-09,475629.6003691
2019-04-10,474223.2193374
2019-04-11,483207.78575499996
2019-04-12,435704.51024150004
2019-04-13,426235.09391
2019-04-14,457428.758217
2019-04-15,467455.0664418
2019-04-16,431574.2079357
2019-04-17,464059.2399621
2019-04-18,395130.8443186
2019-04-19,439492.5882367
2019-04-20,382830.5913234
2019-04-21,422990.8014288
2019-04-22,355623.11754410004
2019-04-23,460655.1278950999
2019-04-24,290077.6738034
2019-04-25,316479.88293029997
2019-04-26,290878.1371956
2019-04-27,336050.9541048
2019-04-28,314983.9132897
2019-04-29,343278.4547548
2019-04-30,371662.143932
2019-05-01,421725.955935
2019-05-02,362248.9416984
2019-05-03,408038.02393180004
2019-05-04,379786.796939
2019-05-05,411447.1052389
2019-05-06,389597.2685663
2019-05-07,365254.87107740005
2019-05-08,405895.559947
2019-05-09,361391.7449454
2019-05-10,738714.0363033
2019-05-11,670429.3608407
2019-05-12,456733.4976015
2019-05-13,466078.1832523
2019-05-14,396924.1341851
2019-05-15,312550.87991290004
2019-05-16,335558.09073610004
