Date,HashRate
2018-11-15,3453906900330874880
2018-11-16,3993873930053030912
2018-11-17,4515761013598950400
2018-11-18,3142582639193755136
2018-11-19,3111872841816718336
2018-11-20,2115435133595591936
2018-11-21,4802750346157609984
2018-11-22,3859546044421663744
2018-11-23,3060016798205571584
2018-11-24,2517676136769435136
2018-11-25,2703060050204476928
2018-11-26,1141358196983985536
2018-11-27,880893171619144832
2018-11-28,780984216068684800
2018-11-29,1417186658264503296
2018-11-30,1449138329413454336
2018-12-01,1552284490597708288
2018-12-02,1298322636048132352
2018-12-03,1971306614178790912
2018-12-04,1261301563094914816
2018-12-05,1330939989197568000
2018-12-06,1644910673286774784
2018-12-07,1174620312807480064
2018-12-08,1288764683245603840
2018-12-09,1480678044234749440
2018-12-10,1400414588652013312
2018-12-11,1292808783630199552
2018-12-12,1299846297963158016
2018-12-13,1267637695606374912
2018-12-14,1582147027904114944
2018-12-15,787234145961097472
2018-12-16,1099106288937603328
2018-12-17,1032445666121105024
2018-12-18,1083146806030354688
2018-12-19,792369337897130368
2018-12-20,983802612668102272
2018-12-21,1234766483453970944
2018-12-22,1082448609839820032
2018-12-23,1127342329065275392
2018-12-24,1126786006842652800
2018-12-25,935440848007817728
2018-12-26,917879831631773824
2018-12-27,866667840182336896
2018-12-28,850339906257541760
2018-12-29,1248929109093837056
2018-12-30,966991834117290752
2018-12-31,910155252555135232
2019-01-01,858422821756595968
2019-01-02,993982973972150528
2019-01-03,1099440046298583808
2019-01-04,1096459422659286656
2019-01-05,1024904137643772672
2019-01-06,1074317971518314880
2019-01-07,880254794053636992
2019-01-08,996552509701699712
2019-01-09,1009833962754744064
2019-01-10,896066747060475136
2019-01-11,920840529502826752
2019-01-12,1042212709239065216
2019-01-13,1259347338424057600
2019-01-14,876216163883083648
2019-01-15,1125262374705616896
2019-01-16,1050768172622620032
2019-01-17,894138553472204800
2019-01-18,1010321116660006400
2019-01-19,844236543184981120
2019-01-20,1040083635524424576
2019-01-21,1138747679315443456
2019-01-22,953544225546676736
2019-01-23,1056633759646672128
2019-01-24,851190202614217984
2019-01-25,1035625885158470656
2019-01-26,990342726455569408
2019-01-27,795853433383477888
2019-01-28,1168146205515227648
2019-01-29,927209525372602496
2019-01-30,1003816944938269312
2019-01-31,1022001548736976768
2019-02-01,1148877295760799232
2019-02-02,982851030336791168
2019-02-03,1043654292014951168
2019-02-04,908285923962954880
2019-02-05,1054803836674931328
2019-02-06,1011422561942608768
2019-02-07,864988421848413184
2019-02-08,876708581382764416
2019-02-09,979535871624301824
2019-02-10,978259605653084032
2019-02-11,929916568654399744
2019-02-12,996768566537157376
2019-02-13,993820946100455680
2019-02-14,1044398453168761216
2019-02-15,925047931818257024
2019-02-16,769341735114420736
2019-02-17,990197807108819456
2019-02-18,1006493107291969792
2019-02-19,984073659720116992
2019-02-20,798892517475632128
2019-02-21,754259346271766912
2019-02-22,792151251151190912
