Date,Emissions(g)
2014-01-19,5.697719993333605
2014-01-20,13.817247714922896
2014-01-21,10.743742403993982
2014-01-22,3.0282130317179288
2014-01-23,2.4184577187174496
2014-01-24,2.6026968644261173
2014-01-25,2.2032433915887606
2014-01-26,1.9850082683802008
2014-01-27,2.57093817888285
2014-01-28,4.783534262250586
2014-01-29,3.7602280616955026
2014-01-30,7.019956227654556
2014-01-31,5.488769706607652
2014-02-01,6.5906180929752125
2014-02-02,10.119607154593256
2014-02-03,17.343535243426068
2014-02-04,19.35915058750017
2014-02-05,28.21229138575747
2014-02-06,53.869287829006595
2014-02-07,42.63717813711439
2014-02-08,86.78309165416049
2014-02-09,180.5417030134444
2014-02-10,45.72804611318685
2014-02-11,115.96913955987453
2014-02-12,97.80579025112544
2014-02-13,89.96970986195595
2014-02-14,89.15927673037675
2014-02-15,113.55307646161081
2014-02-16,176.96452516572185
2014-02-17,262.9650943905485
2014-02-18,399.1448376728816
2014-02-19,373.42982908364917
2014-02-20,438.44132777334374
2014-02-21,540.5104828021042
2014-02-22,652.64194368996
2014-02-23,537.2503678934908
2014-02-24,628.618799131992
2014-02-25,511.22253003364165
2014-02-26,468.174638721197
2014-02-27,403.193923678786
2014-02-28,421.4713445974812
2014-03-01,558.8599576204394
2014-03-02,734.4243261095571
2014-03-03,812.1960363816834
2014-03-04,722.3449344578836
2014-03-05,787.5384062947031
2014-03-06,760.3828290070944
2014-03-07,744.590284758658
2014-03-08,821.6016819730851
2014-03-09,907.5825148680639
2014-03-10,957.192691338358
2014-03-11,834.0112190709407
2014-03-12,987.9307857866196
2014-03-13,868.6611688703504
2014-03-14,829.8478360936224
2014-03-15,833.4713712465024
2014-03-16,828.0200128589076
2014-03-17,855.2985870663655
2014-03-18,855.6722991154954
2014-03-19,902.2226273299335
2014-03-20,923.5814349812447
2014-03-21,882.6510774646532
2014-03-22,866.140877096352
2014-03-23,964.1304841074747
2014-03-24,1060.54745884353
2014-03-25,1157.4164696418238
2014-03-26,1289.162964144442
2014-03-27,1199.74758815554
2014-03-28,1291.4680545690442
2014-03-29,1334.2992674972372
2014-03-30,1403.818255016193
2014-03-31,1293.943237095474
2014-04-01,1496.1932141937632
2014-04-02,1429.7708968851603
2014-04-03,1471.568150686795
2014-04-04,1272.5712515626813
2014-04-05,1408.162612122195
2014-04-06,1280.3288831988891
2014-04-07,1224.881980497547
2014-04-08,1472.133009680322
2014-04-09,1417.591852811632
2014-04-10,1500.9588234712833
2014-04-11,1353.2238883368898
2014-04-12,1464.6682580137756
2014-04-13,1268.2786753411651
2014-04-14,1278.0321611780353
2014-04-15,1250.908830891235
2014-04-16,1163.3947538370498
2014-04-17,1292.576656853437
2014-04-18,1313.9951338418066
2014-04-19,1256.530829950395
2014-04-20,1203.1795898946289
2014-04-21,1119.4690081716608
2014-04-22,1181.550478224691
2014-04-23,1525.685231282903
2014-04-24,1603.574374783452
2014-04-25,1977.6485437795982
2014-04-26,2550.516608814092
2014-04-27,2825.275728380514
2014-04-28,2864.469600664616
2014-04-29,2704.298217054157
2014-04-30,2713.4168650436145
2014-05-01,2852.9179332199233
2014-05-02,2691.8190765201794
2014-05-03,2290.839569591296
2014-05-04,2635.270412888565
2014-05-05,2993.918974319077
2014-05-06,3162.085781682361
2014-05-07,3655.4282370988
2014-05-08,3286.4184363976324
2014-05-09,3125.939988809654
2014-05-10,3666.312428116094
2014-05-11,4388.619866659726
2014-05-12,3959.2614991287537
2014-05-13,4251.929586688979
2014-05-14,4106.647725581144
2014-05-15,6722.092687703659
2014-05-16,6660.237365744605
2014-05-17,6111.794016317227
2014-05-18,5153.288443657686
2014-05-19,5373.639622995301
2014-05-20,6223.881260155281
2014-05-21,6364.073608132281
2014-05-22,7652.050113172334
2014-05-23,9572.132729176394
2014-05-24,11072.671083126104
2014-05-25,8396.508783144816
2014-05-26,6503.654647739941
2014-05-27,9121.1393515252
2014-05-28,14103.94801390316
2014-05-29,8133.498854100962
2014-05-30,9252.26691208821
2014-05-31,11672.485946374809
2014-06-01,13783.3516281483
2014-06-02,16810.81204410038
2014-06-03,13190.799154618751
2014-06-04,10089.509586102611
2014-06-05,9913.716974194776
2014-06-06,10227.73912973995
2014-06-07,10826.229470912516
2014-06-08,10435.92956345327
2014-06-09,9382.376934954904
2014-06-10,10092.184781746968
2014-06-11,9886.647251281993
2014-06-12,9508.109338899092
2014-06-13,9552.617806659124
2014-06-14,9666.973674360603
2014-06-15,8960.294478800393
2014-06-16,9704.931648650614
2014-06-17,9449.422930252045
2014-06-18,9379.189372245222
2014-06-19,10405.41683092997
2014-06-20,10284.269763541115
2014-06-21,8721.247950388242
2014-06-22,8088.6825876458415
2014-06-23,10329.411133340904
2014-06-24,11993.000862676452
2014-06-25,11563.04002371572
2014-06-26,11047.539463167492
2014-06-27,11389.218049352707
2014-06-28,12351.853424614143
2014-06-29,12997.312895631672
2014-06-30,14533.141959112269
2014-07-01,15142.909160381505
2014-07-02,14568.003299740718
2014-07-03,11823.979652327025
2014-07-04,11680.829925048269
2014-07-05,9895.650493690491
2014-07-06,9270.351808696156
2014-07-07,9727.453836484872
2014-07-08,11280.03464737378
2014-07-09,8830.784625128295
2014-07-10,7996.273588126026
2014-07-11,8626.071946065014
2014-07-12,8689.292301416994
2014-07-13,8294.548564066894
2014-07-14,8377.68807727396
2014-07-15,8331.88744631381
2014-07-16,7803.984219100405
2014-07-17,8437.734429542448
2014-07-18,10472.396573856122
2014-07-19,9150.808062124184
2014-07-20,11025.209415628267
2014-07-21,10029.993109885963
2014-07-22,9989.700260982529
2014-07-23,10281.412405733896
2014-07-24,10026.364914316764
2014-07-25,8696.769347362804
2014-07-26,9306.199485435993
2014-07-27,10418.587265339453
2014-07-28,10894.733854643782
2014-07-29,9452.97085644083
2014-07-30,8433.028882564007
2014-07-31,7434.153330998561
2014-08-01,7582.066157861786
2014-08-02,8500.210573877323
2014-08-03,10111.077669156608
2014-08-04,11488.35164662604
2014-08-05,12283.936420486367
2014-08-06,14344.787705954128
2014-08-07,10613.931109673995
2014-08-08,12890.600995193918
2014-08-09,12124.828772735926
2014-08-10,12387.807072233789
2014-08-11,11720.570145444777
2014-08-12,10912.271668638155
2014-08-13,11152.224743998551
2014-08-14,12467.488550581445
2014-08-15,11034.736715721401
2014-08-16,12177.84715334485
2014-08-17,11045.66560332054
2014-08-18,9609.2493372394
2014-08-19,9272.439731921992
2014-08-20,10617.427715821888
2014-08-21,9867.534516246677
2014-08-22,9527.227144289125
2014-08-23,9741.495130642617
2014-08-24,10199.195255837454
2014-08-25,9960.142275054888
2014-08-26,10575.739760299162
2014-08-27,9002.910827754515
2014-08-28,8382.306054679286
2014-08-29,8673.337409239626
2014-08-30,8133.925844217881
2014-08-31,7974.018014763204
2014-09-01,7886.443071350183
2014-09-02,7823.680070570247
2014-09-03,8080.413252578781
2014-09-04,8745.257525307128
2014-09-05,8908.072940876214
2014-09-06,8869.225753844536
2014-09-07,9548.903166262335
2014-09-08,8892.623245043917
2014-09-09,8715.285137432973
2014-09-10,8308.734793397225
2014-09-11,8085.256368337391
2014-09-12,7754.2523624307505
2014-09-13,8265.992260821897
2014-09-14,8357.767587638953
2014-09-15,9967.845039114629
2014-09-16,10676.921084356516
2014-09-17,10056.741673829065
2014-09-18,10776.891836426228
2014-09-19,10211.084996135874
2014-09-20,10780.8994751882
2014-09-21,9845.646273106897
2014-09-22,8916.247617397921
2014-09-23,9661.769581625433
2014-09-24,9404.010008430152
2014-09-25,8652.857682805121
2014-09-26,8416.256703541754
2014-09-27,7906.685595005762
2014-09-28,8771.592968209565
2014-09-29,9653.582439870825
2014-09-30,9623.674595075036
2014-10-01,8122.3567973228855
2014-10-02,7834.390533630635
2014-10-03,7358.508500133863
2014-10-04,7202.742093970112
2014-10-05,6405.14210940535
2014-10-06,6289.391868597586
2014-10-07,6151.247036964816
2014-10-08,6783.687832602282
2014-10-09,6958.787570709016
2014-10-10,7187.742877105164
2014-10-11,7264.666734457531
2014-10-12,6813.998651002189
2014-10-13,7458.178312829938
2014-10-14,6394.361843794812
2014-10-15,6571.803163640211
2014-10-16,6742.7109932388
2014-10-17,6741.7230125607875
2014-10-18,6215.718362491388
2014-10-19,6490.8029026405475
2014-10-20,6730.664731385661
2014-10-21,6329.066778847205
2014-10-22,5981.21731580368
2014-10-23,6700.174056485743
2014-10-24,6848.445352151368
2014-10-25,6737.4601530961
2014-10-26,6589.006790620602
2014-10-27,5726.343829002054
2014-10-28,5889.864177010119
2014-10-29,6594.041544803513
2014-10-30,6229.3000297644785
2014-10-31,6917.116407206502
2014-11-01,7392.446902827808
2014-11-02,7673.38959234474
2014-11-03,7660.254990893191
2014-11-04,7928.867320175315
2014-11-05,6969.770607085472
2014-11-06,6568.73751940779
2014-11-07,7261.426840660958
2014-11-08,8263.7871097568
2014-11-09,10058.477018461183
2014-11-10,11474.801339349373
2014-11-11,10744.55447336842
2014-11-12,9877.73697330354
2014-11-13,10186.984625709289
2014-11-14,9751.712038821724
2014-11-15,10552.327328253794
2014-11-16,10790.242609852692
2014-11-17,10305.286879865498
2014-11-18,10521.389950258274
2014-11-19,10781.011674505371
2014-11-20,10315.830801203221
2014-11-21,9785.233138056405
2014-11-22,9907.799371884961
2014-11-23,10234.313131064277
2014-11-24,9815.190482450767
2014-11-25,9162.368405319165
