Date,HashRate
2014-01-26,18274782
2014-01-27,15147189
2014-01-28,32503425
2014-01-29,60626429
2014-01-30,49821991
2014-01-31,105521127
2014-02-01,49107300
2014-02-02,86023771
2014-02-03,193076827
2014-02-04,210565285
2014-02-05,239805293
2014-02-06,572964219
2014-02-07,581798915
2014-02-08,599635280
2014-02-09,2764637943
2014-02-10,1223561406
2014-02-11,728996224
2014-02-12,1000561592
2014-02-13,888472534
2014-02-14,898049236
2014-02-15,1116231067
2014-02-16,1778070554
2014-02-17,2593020561
2014-02-18,4073068893
2014-02-19,3682745823
2014-02-20,4369424714
2014-02-21,5343463423
2014-02-22,6581918786
2014-02-23,5328856235
2014-02-24,6218727513
2014-02-25,5157208822
2014-02-26,4767527138
2014-02-27,3893788169
2014-02-28,4177559985
2014-03-01,5520537365
2014-03-02,7588430676
2014-03-03,7920184277
2014-03-04,7169669583
2014-03-05,8026982640
2014-03-06,7452397332
2014-03-07,7548209919
2014-03-08,8046565251
2014-03-09,8967538781
2014-03-10,9648083636
2014-03-11,8340628199
2014-03-12,9872354823
2014-03-13,8567002369
2014-03-14,8298908436
2014-03-15,8409342795
2014-03-16,8146000417
2014-03-17,8569417118
2014-03-18,8517186579
2014-03-19,9012074256
2014-03-20,9256602891
2014-03-21,8746825558
2014-03-22,8597196543
2014-03-23,9538040731
2014-03-24,10580575279
2014-03-25,11529309841
2014-03-26,12912049103
2014-03-27,11947222044
2014-03-28,12783267759
2014-03-29,13259917123
2014-03-30,14061921795
2014-03-31,12861785901
2014-04-01,14865527579
2014-04-02,14294578902
2014-04-03,14731907721
2014-04-04,12645226021
2014-04-05,13979984070
2014-04-06,13004695446
2014-04-07,11931337876
2014-04-08,14893548539
2014-04-09,14014562901
2014-04-10,14853567683
2014-04-11,13492312920
2014-04-12,14627543986
2014-04-13,12613983275
2014-04-14,12807019348
2014-04-15,12412885435
2014-04-16,11595729028
2014-04-17,12884772947
2014-04-18,13018748372
2014-04-19,12557101253
2014-04-20,12058767397
2014-04-21,11059049967
2014-04-22,11812178726
2014-04-23,15167847650
2014-04-24,15838603870
2014-04-25,19950528149
2014-04-26,25324599483
2014-04-27,28120442569
2014-04-28,28496680557
2014-04-29,26925627490
2014-04-30,27012389164
2014-05-01,28605261769
2014-05-02,26931797863
2014-05-03,22740615425
2014-05-04,26217976914
2014-05-05,29525204435
2014-05-06,31941362894
2014-05-07,36106663553
2014-05-08,32727679448
2014-05-09,31368362210
2014-05-10,36483382854
2014-05-11,43682769838
2014-05-12,39220781610
2014-05-13,42539902648
2014-05-14,40851903557
2014-05-15,68119055024
2014-05-16,66912073446
2014-05-17,60357347239
2014-05-18,51393015935
2014-05-19,53655539221
2014-05-20,61887047235
2014-05-21,63346075564
2014-05-22,76436569647
2014-05-23,95440807334
2014-05-24,110433452657
2014-05-25,83400949721
2014-05-26,65839302441
2014-05-27,88523908225
2014-05-28,145209104544
2014-05-29,80328036621
2014-05-30,90401459854
2014-05-31,117791351896
2014-06-01,137200884151
2014-06-02,167851532396
2014-06-03,132374935605
2014-06-04,98974582313
2014-06-05,99200950636
2014-06-06,102445146298
2014-06-07,107088176960
2014-06-08,104781043503
2014-06-09,92651121288
2014-06-10,100472885561
2014-06-11,98384458667
2014-06-12,94733778057
2014-06-13,94688809197
2014-06-14,97060960908
2014-06-15,88698491500
2014-06-16,97466812342
2014-06-17,93567061521
2014-06-18,94428214595
2014-06-19,102507602931
2014-06-20,102728607195
2014-06-21,86871886050
2014-06-22,80218972366
2014-06-23,102955295030
2014-06-24,119716940805
2014-06-25,115407990991
2014-06-26,109527219282
2014-06-27,112853778230
2014-06-28,123470752531
2014-06-29,130390419938
2014-06-30,144372881927
2014-07-01,150609476290
2014-07-02,145203086903
2014-07-03,118751489657
2014-07-04,115332218319
2014-07-05,98720050672
2014-07-06,91558508977
2014-07-07,97421807014
2014-07-08,112412124749
2014-07-09,87616054281
2014-07-10,79488756031
2014-07-11,86125971236
2014-07-12,86960103880
2014-07-13,82611399010
2014-07-14,83942147360
2014-07-15,82340584989
2014-07-16,77846124797
2014-07-17,84047271277
2014-07-18,103158267004
2014-07-19,91610802427
2014-07-20,111749065103
2014-07-21,98313795296
2014-07-22,100787664542
2014-07-23,101285355604
2014-07-24,100654753533
2014-07-25,86660953421
2014-07-26,92616093220
2014-07-27,104216015698
2014-07-28,107997872876
2014-07-29,94408782066
2014-07-30,82832968419
2014-07-31,75273697246
2014-08-01,74199080361
2014-08-02,84990458595
2014-08-03,100446649431
2014-08-04,115364261845
2014-08-05,121624562683
2014-08-06,144736209267
2014-08-07,105364121713
2014-08-08,127673456339
2014-08-09,120225797182
2014-08-10,125141908043
2014-08-11,115688249109
2014-08-12,109469050994
2014-08-13,110369254792
2014-08-14,123850592809
2014-08-15,111140427574
2014-08-16,120867694005
2014-08-17,109877111206
2014-08-18,95344279067
2014-08-19,92276232129
2014-08-20,106830563336
2014-08-21,97445112637
2014-08-22,95318408027
2014-08-23,97024536010
2014-08-24,100186601184
2014-08-25,100251391052
2014-08-26,105319013495
2014-08-27,89554681788
2014-08-28,83266898827
2014-08-29,86560261435
2014-08-30,81331407616
