Date,Emissions(g)
2013-12-06,2.118626474039172e-07
2013-12-08,1.066414371958754
2013-12-09,3.1470629642912957
2013-12-10,4.134635934464882
2013-12-11,6.957602665498642
2013-12-12,9.230224721314928
2013-12-13,13.446824439735176
2013-12-14,24.077812536642664
2013-12-15,53.41800938511769
2013-12-16,109.24834871729101
2013-12-17,135.1032506867127
2013-12-18,176.1899933406225
2013-12-19,296.3485936933593
2013-12-20,430.75922803543426
2013-12-21,430.1641657927379
2013-12-22,396.50096358060483
2013-12-23,412.39675584946275
2013-12-24,504.43373249342307
2013-12-25,563.1333129972057
2013-12-26,535.9637778790645
2013-12-27,507.83109610004317
2013-12-28,548.3401221566602
2013-12-29,475.5682437788156
2013-12-30,446.6283130351465
2013-12-31,427.0995350673414
2014-01-01,446.7920395715722
2014-01-02,439.295752294193
2014-01-03,409.9554114370283
2014-01-04,361.64477834075717
2014-01-05,337.19870898930554
2014-01-06,319.84984469402906
2014-01-07,318.0841052471903
2014-01-08,307.2856366771904
2014-01-09,348.7153595776201
2014-01-10,408.7482239836724
2014-01-11,508.0255844622411
2014-01-12,472.4174513270345
2014-01-13,455.55421933650734
2014-01-14,465.039456822983
2014-01-15,574.5495767988467
2014-01-16,571.06654282782
2014-01-17,643.1209754740219
2014-01-18,750.1872251885377
2014-01-19,886.0316217013612
2014-01-20,1003.5600863493803
2014-01-21,1308.346326278208
2014-01-22,1595.7740564965154
2014-01-23,1467.3088191890308
2014-01-24,1590.5000656275267
2014-01-25,1525.9026032271936
2014-01-26,1577.9132393287678
2014-01-27,1503.7296585682755
2014-01-28,1356.4275076440865
2014-01-29,1252.8083007156383
2014-01-30,1489.9983561317376
2014-01-31,1606.911285178771
2014-02-01,1723.8239601271775
2014-02-02,1654.7927447536993
2014-02-03,1517.9780315277217
2014-02-04,1506.5192432315232
2014-02-05,1429.2623033060256
2014-02-06,1553.3800721498303
2014-02-07,1729.5166020493728
2014-02-08,1670.872081678387
2014-02-09,1738.7439124666466
2014-02-10,1912.311646534253
2014-02-11,1958.810114977229
2014-02-12,2158.311540196916
2014-02-13,2150.1973141653602
2014-02-14,1620.7339153155842
2014-02-15,1346.3488804188096
2014-02-16,1280.1758863517853
2014-02-17,1149.7412900452484
2014-02-18,1351.7045212165347
2014-02-19,1347.8186444529892
2014-02-20,1368.0091443917952
2014-02-21,1340.307506714832
2014-02-22,1273.6554337427613
2014-02-23,1251.2085585085154
2014-02-24,1245.5172225187487
2014-02-25,1281.5539507768322
2014-02-26,1314.994552848115
2014-02-27,1316.3616236830464
2014-02-28,1380.3720660287424
2014-03-01,1313.6885944017697
2014-03-02,1406.907513173779
2014-03-03,1429.7405600620798
2014-03-04,1314.0945504110011
2014-03-05,1387.903072847213
2014-03-06,1403.2427554547137
2014-03-07,1326.0345161181988
2014-03-08,1285.203482653968
2014-03-09,1249.2596424851135
2014-03-10,1320.8981510672356
2014-03-11,1254.6140378251969
2014-03-12,1320.768514437581
2014-03-13,1416.8767349677826
2014-03-14,1270.5962321424097
2014-03-15,1330.5945974753374
2014-03-16,1257.804909612029
2014-03-17,1252.397305457424
2014-03-18,1133.6245970190735
2014-03-19,1225.2038354964682
2014-03-20,1290.053490476631
2014-03-21,1345.511902587437
2014-03-22,1386.056983632797
2014-03-23,1290.9442497562084
2014-03-24,1241.063623556496
2014-03-25,1274.0111096222015
2014-03-26,1207.007602935547
2014-03-27,1113.6494046695432
2014-03-28,1110.3590887094147
2014-03-29,1225.364601148877
2014-03-30,1259.327296273997
2014-03-31,1246.711351372013
2014-04-01,1231.8463105106234
2014-04-02,1245.758243910682
2014-04-03,1230.2104627231824
2014-04-04,1245.3279881578276
2014-04-05,1221.16714602337
2014-04-06,1224.4876047616872
2014-04-07,1230.9311942354307
2014-04-08,1243.6421796336958
2014-04-09,1189.0288040271575
2014-04-10,1148.6159753176516
2014-04-11,1167.3781931374508
2014-04-12,1163.6668905511974
2014-04-13,1173.6332877942343
2014-04-14,1139.8141981345145
2014-04-15,1172.45128270316
2014-04-16,1343.8345032798047
2014-04-17,1360.7852487274076
2014-04-18,1208.366968240558
2014-04-19,1135.6033375727998
2014-04-20,1091.2956829497916
2014-04-21,1090.4278830743478
2014-04-22,1171.2974839526003
2014-04-23,1171.6728521298774
2014-04-24,1154.7618328198494
2014-04-25,1196.5753081689563
2014-04-26,1213.6358328078427
2014-04-27,1326.8816690253984
2014-04-28,1170.1640141864275
2014-04-29,865.1703744819504
2014-04-30,900.3903876714782
2014-05-01,912.300029255106
2014-05-02,897.0664252176518
2014-05-03,938.7582412153877
2014-05-04,903.7187812455833
2014-05-05,880.7497192932847
2014-05-06,883.1508789071942
2014-05-07,862.4086852716391
2014-05-08,846.7925746162426
2014-05-09,859.5316472807764
2014-05-10,853.4918707810848
2014-05-11,808.9971181983907
2014-05-12,816.539804765096
2014-05-13,821.530665274817
2014-05-14,831.7083316045934
2014-05-15,836.1373150600463
2014-05-16,840.5000673613573
2014-05-17,875.9849216365478
2014-05-18,878.4250372015701
2014-05-19,829.9144096888419
2014-05-20,821.6314059834081
2014-05-21,840.2778334959056
2014-05-22,805.5641120734387
2014-05-23,747.9484924734948
2014-05-24,706.8353568563859
2014-05-25,687.7443942936164
2014-05-26,691.0288592394935
2014-05-27,730.8552663932057
2014-05-28,761.4514082768727
2014-05-29,769.7438957996126
2014-05-30,746.4423641862882
2014-05-31,684.6744458879941
2014-06-01,735.7942257116196
2014-06-02,760.9720109898306
2014-06-03,781.9656872361115
2014-06-04,750.4247082978778
2014-06-05,752.1564685810015
2014-06-06,797.1872520779175
2014-06-07,839.9930300539398
2014-06-08,829.0645562148188
2014-06-09,831.2210671627256
2014-06-10,888.620723620764
2014-06-11,852.4304916602911
2014-06-12,928.1517108952706
2014-06-13,870.7044285951765
