Date,HashRate
2014-01-25,90398514456
2014-01-26,92721149756
2014-01-27,85643295202
2014-01-28,82199905739
2014-01-29,71689830164
2014-01-30,83315415198
2014-01-31,94166452612
2014-02-01,101829631808
2014-02-02,98783690876
2014-02-03,88443383503
2014-02-04,86708004536
2014-02-05,83723231429
2014-02-06,87268774495
2014-02-07,103877187317
2014-02-08,96161173323
2014-02-09,103752574999
2014-02-10,107167074167
2014-02-11,118191030040
2014-02-12,124700797089
2014-02-13,125487649516
2014-02-14,96431884692
2014-02-15,75929729883
2014-02-16,74554630741
2014-02-17,68519734171
2014-02-18,75846956923
2014-02-19,80567712042
2014-02-20,80872479765
2014-02-21,77784107693
2014-02-22,73332825599
2014-02-23,72629221587
2014-02-24,72086788766
2014-02-25,76480452573
2014-02-26,74945854876
2014-02-27,77581823723
2014-02-28,81461014446
2014-03-01,75614545286
2014-03-02,81427372839
2014-03-03,83178965203
2014-03-04,77176482762
2014-03-05,80466975787
2014-03-06,84230070300
2014-03-07,76078884327
2014-03-08,76129295020
2014-03-09,70515066372
2014-03-10,78706135136
2014-03-11,72640594883
2014-03-12,75111848388
2014-03-13,82725833361
2014-03-14,74145517958
2014-03-15,77625742332
2014-03-16,75076365651
2014-03-17,72685804037
2014-03-18,66970162350
2014-03-19,71016600326
2014-03-20,75134295880
2014-03-21,78631872504
2014-03-22,80032595104
2014-03-23,75581525716
2014-03-24,71984815120
2014-03-25,74372816424
2014-03-26,70453598598
2014-03-27,65314425361
2014-03-28,64375208482
2014-03-29,71008979821
2014-03-30,73555609179
2014-03-31,72577222041
2014-04-01,72348865600
2014-04-02,71790989329
2014-04-03,72205179667
2014-04-04,73150522175
2014-04-05,70339482029
2014-04-06,73207452342
2014-04-07,70945479896
2014-04-08,71032364817
2014-04-09,69719180497
2014-04-10,67335717370
2014-04-11,68177196861
2014-04-12,67053039133
2014-04-13,67591834679
2014-04-14,67629619412
2014-04-15,67392916465
2014-04-16,78229867991
2014-04-17,78549444471
2014-04-18,70924582988
2014-04-19,65496359991
2014-04-20,63129520479
2014-04-21,64074919014
2014-04-22,68044368922
2014-04-23,68033755003
2014-04-24,67919602396
2014-04-25,68738689212
2014-04-26,71276820120
2014-04-27,77959944583
2014-04-28,66344429737
2014-04-29,50454990943
2014-04-30,52564159459
2014-05-01,53691043132
2014-05-02,52317787677
2014-05-03,54162797837
2014-05-04,53423241905
2014-05-05,51183568435
2014-05-06,49706732615
2014-05-07,51710368250
2014-05-08,48872165148
2014-05-09,50088607209
2014-05-10,49003738127
