Date,HashRate
2017-12-16,1.0354027766102E+14
2017-12-17,1.0332966341468E+14
2017-12-18,1.0398290852865E+14
2017-12-19,95437113030014
2017-12-20,96423520110305
2017-12-21,1.0234452238806E+14
2017-12-22,98442511607319
2017-12-23,1.0326064780938E+14
2017-12-24,1.0445959225674E+14
2017-12-25,101837043952081
2017-12-26,1.0770990282005E+14
2017-12-27,1.0641159034653E+14
2017-12-28,1.0760704714544E+14
2017-12-29,1.1011894114281E+14
2017-12-30,1.0738812564885E+14
2017-12-31,1.1049886277188E+14
2018-01-01,1.0533554420864E+14
2018-01-02,1.0421992824607E+14
2018-01-03,1.1030474608258E+14
2018-01-04,1.0570397890315E+14
2018-01-05,1.1405216023908E+14
2018-01-06,1.0748860681801E+14
2018-01-07,1.0170909782009E+14
2018-01-08,1.0068020069632E+14
2018-01-09,98548037046141
2018-01-10,1.036712669698E+14
2018-01-11,1.0135369265233E+14
2018-01-12,99934626562856
2018-01-13,98214898746809
2018-01-14,1.0680507983214E+14
2018-01-15,1.0672215360158E+14
2018-01-16,1.0342494558848E+14
2018-01-17,1.0706283809105E+14
2018-01-18,1.0828656384412E+14
2018-01-19,1.0671695049774E+14
2018-01-20,1.1081290814232E+14
2018-01-21,1.0370910737128E+14
2018-01-22,1.0648426574982E+14
2018-01-23,1.0508817944333E+14
2018-01-24,1.0987295136877E+14
2018-01-25,1.0804248755571E+14
2018-01-26,1.1228099501632E+14
2018-01-27,1.2246154455608E+14
2018-01-28,1.1115514938406E+14
2018-01-29,119641167165656
2018-01-30,1.2519732466077E+14
2018-01-31,1.1884098154207E+14
2018-02-01,1.1771135660034E+14
2018-02-02,1.2388969371216E+14
2018-02-03,1.2224203349039E+14
2018-02-04,1.268439315629E+14
2018-02-05,1.324721029052E+14
2018-02-06,1.3337221720031E+14
2018-02-07,1.3788661894767E+14
2018-02-08,1.3354211059713E+14
2018-02-09,1.3824503583957E+14
2018-02-10,1.3141688001239E+14
2018-02-11,1.2884976255468E+14
2018-02-12,1.3785277135516E+14
2018-02-13,1.3448773163545E+14
2018-02-14,1.4033076282126E+14
2018-02-15,1.363084150469E+14
2018-02-16,1.3963869244639E+14
2018-02-17,1.4024015772787E+14
2018-02-18,146911179583765
2018-02-19,1.418157811826E+14
2018-02-20,1.4131581741628E+14
2018-02-21,1.4241701847733E+14
2018-02-22,1.4516149644711E+14
2018-02-23,1.4701956012176E+14
2018-02-24,1.4318993052584E+14
2018-02-25,1.4285440446255E+14
2018-02-26,1.4095584836586E+14
2018-02-27,1.4807578480597E+14
2018-02-28,1.4482398642797E+14
2018-03-01,1.4345252609241E+14
2018-03-02,1.4764565121306E+14
2018-03-03,1.5198895443113E+14
2018-03-04,1.4320798954206E+14
2018-03-05,1.5677769333048E+14
2018-03-06,1.6219510437035E+14
2018-03-07,1.5986254267082E+14
2018-03-08,1.6275779602062E+14
2018-03-09,1.5353737112749E+14
2018-03-10,1.572971449629E+14
2018-03-11,158806450673752
2018-03-12,1.6487918674886E+14
2018-03-13,1.6703284368586E+14
2018-03-14,1.6256469634836E+14
2018-03-15,1.5991891865607E+14
2018-03-16,1.7011496139609E+14
2018-03-17,1.7056247164811E+14
